 	l	ho	sentito	che	viene	</S>
o	0.98692524	0.0032726761	6.32447e-05	6.384434e-05	3.7220932e-05	0.009637716
n	0.46940577	0.4496864	0.05201628	0.009484848	0.003464262	0.015942559
ì	0.0063112187	0.06502386	0.1263171	0.10467454	0.43078524	0.26688808
k	0.002512225	0.5073915	0.4590078	0.027047932	0.0005798968	0.003460703
u	0.4021806	0.58492047	0.008377512	0.0037042168	0.0008146627	2.4957708e-06
s	0.0001867018	0.8495333	0.1304183	0.015533636	0.0005399344	0.0037879732
a	0.020642184	0.33472613	0.3878152	0.24880865	0.0054287487	0.0025791696
n	0.0036781216	0.30320504	0.2991163	0.33910015	0.030686213	0.024214184
a	0.030553905	0.034050725	0.34053633	0.28235373	0.3046562	0.007849104
r	0.001583044	0.008088096	0.041876744	0.36703655	0.5285088	0.05290675
t	0.2846528	0.033903286	0.06736337	0.09170073	0.5207302	0.0016496346
i	0.25624758	0.036859673	0.017555052	0.5980822	0.033608925	0.057646487
</S>	3.3612094e-05	9.1948905e-06	0.00077817944	0.0125478245	0.15906489	0.8275663
