 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
t	0.98993146	0.00031928142	0.00033986327	0.00013302904	3.287115e-05	0.00015821352	0.0002761051	0.0016922362	0.0071169273
ù	0.9688269	0.01846872	0.0005910544	0.005430707	7.051558e-05	0.00014663964	0.00015851078	0.00012292484	0.0061839093
t	0.72665626	0.27139235	0.0012372137	0.00014798417	4.4169905e-05	2.2439746e-05	5.7477614e-06	6.0504516e-07	0.0004932655
t	0.9991246	9.0863105e-05	0.00062674144	9.854382e-05	3.1014693e-05	2.0396556e-05	5.359198e-06	1.3996151e-06	1.2419324e-06
o	0.96265686	0.032083903	0.001470284	0.0021070568	0.00034893092	0.0004601118	0.00011192922	2.0285117e-05	0.00074069086
t	0.18538234	0.7907677	0.021341586	0.0020686423	0.00010174537	5.5837154e-05	5.766021e-06	1.8779778e-07	0.00027622306
r	0.892245	0.0041100862	0.014262426	0.069504306	0.0021673096	0.0033007949	0.0021354053	0.0012879333	0.0109868795
a	0.8952795	0.07882732	0.013341571	0.00089911744	0.00089645333	0.00026350262	2.1054302e-05	1.3520661e-06	0.010470107
v	0.2647755	0.42439163	0.25709355	0.020289691	0.006458215	0.0016576455	0.00025908614	1.6295353e-05	0.025058301
ù	0.18579464	0.001045615	0.20277292	0.49790418	0.029876659	0.01607632	0.016410409	0.026413195	0.023706064
d	0.00046062507	0.49743196	0.47927752	0.010040388	0.011111288	0.001129868	0.00019812956	7.4725267e-06	0.00034272298
i	0.015164972	0.0001490255	0.88042605	0.06558585	0.030854281	0.0059745624	0.0013377854	0.0004916676	1.5694413e-05
e	0.0009972334	0.006228063	0.6333566	0.30352446	0.04414042	0.009193777	0.0013317195	3.761761e-05	0.0011900604
e	0.00061902555	0.012119003	0.41277114	0.17094111	0.29987434	0.07499781	0.022001855	0.003159077	0.0035167632
t	0.025096407	0.025871541	0.057417106	0.59112126	0.1376004	0.09318026	0.05168322	0.014228462	0.0038013726
o	0.49483943	0.07276656	0.016242258	0.19600506	0.08449909	0.042619854	0.060089085	0.020946495	0.011992205
n	0.0024049587	0.0021343615	0.09708427	0.6196635	0.12483769	0.12339364	0.025518117	0.0018460245	0.0031175562
è	0.0065917135	0.0002981588	0.022418372	0.011831345	0.84795535	0.04854508	0.03779353	0.020028051	0.0045383666
g	5.5245815e-05	0.0018163663	0.011027255	0.14190966	0.48902392	0.17624268	0.13844708	0.032905765	0.008571998
r	0.0044893846	7.842097e-05	0.09069085	0.15727746	0.4634876	0.15902986	0.041445736	0.07858869	0.0049119685
a	0.33128622	0.006084409	0.0091713425	0.17870304	0.16426565	0.1111224	0.13366511	0.05710457	0.008597261
t	2.7465416e-05	0.00026398135	0.0012118985	0.022733526	0.26529413	0.26998276	0.2279508	0.08227222	0.13026315
s	0.022589808	0.00070386013	0.046266634	0.009172134	0.70394313	0.09408774	0.06560062	0.055197235	0.0024388693
e	0.08020589	0.00052008405	0.0044002575	0.039429855	0.16910873	0.5729402	0.076054476	0.0050279484	0.052312557
è	5.174972e-06	9.477714e-06	0.00012089492	0.0008232167	0.11309007	0.33968043	0.19300532	0.043991107	0.30927435
n	2.075235e-05	0.00026435766	0.0006505499	0.011160244	0.13675188	0.08890524	0.26258048	0.4484043	0.0512621
a	0.0018151499	0.0023499655	0.025884362	0.004424606	0.30028075	0.04272637	0.10627355	0.51381916	0.0024261123
p	7.836872e-06	0.0013163928	0.003508433	0.0020523984	0.029772002	0.1730483	0.46518746	0.23068796	0.09441919
o	0.012139919	0.0024652379	0.07178811	0.00421854	0.18187703	0.090520486	0.203806	0.4310524	0.002132279
è	1.2223561e-05	0.001097147	0.0038267344	0.0016761913	0.01989108	0.122434825	0.46523124	0.30140373	0.0844268
t	2.0163773e-06	8.6717155e-06	6.3202344e-05	0.00019580655	0.0062441234	0.008470242	0.105578616	0.8567758	0.022661507
a	0.0051977863	0.0035098228	0.11185885	0.021521786	0.30453515	0.050077435	0.10234561	0.40040797	0.0005455465
</S>	2.8747854e-06	0.00076200103	0.0019075932	0.00035300796	0.003613264	0.02570429	0.24425003	0.4280562	0.29535076
