 	entrò	da	qui	</S>
m	0.99603504	0.0036116336	0.0003285378	2.4760024e-05
b	0.9619929	0.03726112	1.6413985e-06	0.00074440264
ì	0.0035828461	0.009941522	0.013751714	0.97272396
k	0.0025993907	0.19707403	0.20927845	0.5910481
e	0.59110606	0.40201116	0.0033442639	0.0035384619
a	0.023798168	0.9127539	0.016261132	0.047186747
p	0.00053431897	0.01284869	0.9662788	0.020338196
ò	0.059532784	0.03030379	0.8792307	0.030932821
t	0.00082794775	0.0006535389	0.9805315	0.017987004
t	0.16200295	0.013560808	0.8180199	0.006416317
u	0.38167936	0.0014268002	0.1548977	0.46199614
</S>	0.0014392424	3.5437042e-05	0.13701777	0.8615076
