 	sto	e	cucino	</S>
e	0.4724108	0.036465723	0.40417844	0.08694503
s	0.98981035	0.00090661296	0.0031846163	0.006098274
t	0.89989424	0.00054894213	0.097846754	0.0017101143
è	0.99208283	0.0072769183	4.136405e-05	0.0005988973
c	0.07431135	0.84375316	0.0036618398	0.0782737
e	0.89619803	0.005259605	0.09831336	0.0002290432
m	0.0057802163	0.8590194	0.014071595	0.12112873
a	0.016948674	0.0008764049	0.97828144	0.0038934487
r	0.00044119536	0.23144844	0.44529334	0.32281703
è	0.112378664	0.2510149	0.03561215	0.60099435
o	2.1471526e-05	0.008348026	0.93757665	0.054053813
</S>	0.0001490761	0.0006956715	0.15927024	0.83988506
