 	è	che	stanno	ancora	alzati	</S>
è	0.98545885	0.00149145	0.00020234827	0.0047931517	0.0029473202	0.005106872
n	0.800764	0.16245995	0.025080979	0.0033924547	0.00010290193	0.008199615
a	0.73714256	0.25629175	0.0055414885	0.00062202004	3.5249817e-05	0.00036689072
s	0.008382828	0.8304879	0.15822485	0.0023217534	2.0277777e-05	0.0005623235
t	0.3099457	0.5450874	0.14282705	0.0014671134	0.00037182204	0.00030094385
a	0.07860968	0.50818473	0.37374228	0.00014466897	2.8192206e-05	0.039290458
s	0.003931358	0.1515735	0.5924433	0.03837769	0.008378526	0.20529565
ù	0.0073238295	0.23593937	0.66564614	0.0122846225	0.03063212	0.048173994
n	0.0035260723	0.01603854	0.35516205	0.5963254	0.01061366	0.018334324
e	0.035835467	0.16179693	0.75964236	0.026693616	0.009024585	0.0070070885
a	0.003493293	0.0011877224	0.09734727	0.888067	0.0062400065	0.0036646563
n	0.00015092328	0.0008926236	0.04620883	0.76580626	0.1454507	0.04149077
k	0.020187976	0.0012103631	0.022979645	0.04757266	0.13929705	0.7687523
ò	0.3677233	0.008368866	0.5889084	0.011097767	0.016279925	0.007621869
r	0.00031060545	1.325897e-05	0.006814958	0.83552223	0.12328808	0.03405093
a	0.0016971768	0.010100232	0.11771607	0.72724557	0.07306104	0.07017992
o	0.00021474055	9.654817e-06	0.00048117654	0.89517355	0.083300985	0.020819811
r	2.3442124e-06	1.0615002e-05	0.00056112674	0.58750147	0.31516418	0.09676025
t	0.028339313	0.0044322996	0.0050375354	0.024278894	0.7950243	0.14288771
ì	0.8518595	0.009145094	0.069956735	0.009634131	0.04279617	0.016608406
</S>	0.00029097564	5.3776157e-06	0.00021086268	0.20440553	0.54587007	0.2492172
