 	non	aveva	da	stare	</S>
e	0.95491606	0.0016443843	0.00037837814	0.0029553536	0.040105835
n	0.8105434	0.17546031	0.0020318483	0.009142293	0.0028222015
ì	0.0018489776	0.034525737	0.006547014	0.87046665	0.0866116
c	0.0017829951	0.98087984	0.008988025	0.0072787413	0.0010704155
h	0.04437382	0.8579028	0.08861174	0.008050581	0.0010610237
e	0.28028506	0.6199306	0.023776883	0.033018127	0.042989258
n	0.11717129	0.2986778	0.43170133	0.07664487	0.07580472
a	0.017977478	0.21606979	0.68013644	0.016886018	0.06893023
s	0.010101821	0.030481247	0.63672674	0.25803563	0.064654574
t	0.0002734702	0.04412942	0.69447905	0.18282433	0.0782938
a	0.023629636	0.035344843	0.7386743	0.032165207	0.17018607
s	0.00035204407	5.0712213e-05	0.028852992	0.62870103	0.3420433
ì	1.6419896e-06	0.00047866473	0.0026848738	0.97210115	0.024733687
</S>	0.06935892	3.424719e-05	0.016095847	0.15271282	0.76179814
