 	stava	ancora	cucinando	</S>
ì	0.95773953	0.031797722	0.0027100143	0.007752676
s	0.9724486	0.021606592	0.00016796844	0.005776923
t	0.9989812	0.00092833716	2.4111105e-05	6.646834e-05
i	0.923542	0.0073286723	0.00022320736	0.068906136
g	0.28885728	0.7004953	0.0010445614	0.009602809
g	0.9847438	0.014224342	0.0005765959	0.00045523708
h	0.903983	0.04410273	0.0011221912	0.050792143
e	0.057114687	0.009227373	0.0019857245	0.9316722
a	0.00035645155	0.19561808	0.015893208	0.78813225
n	0.001531036	0.51799273	0.04115067	0.4393256
k	0.072174005	0.005555078	0.014502949	0.9077679
ò	0.8659525	0.0132398885	0.016141344	0.104666196
r	0.00022063166	0.40895128	0.5659588	0.02486925
a	0.052273467	0.59754455	0.23862846	0.11155359
m	0.000314894	0.6982216	0.23791839	0.063545056
a	0.017166417	0.07082268	0.75427103	0.15773986
r	2.0928686e-05	0.063900046	0.4021185	0.5339605
è	0.26613605	0.006401083	0.078301564	0.64916134
o	8.664215e-05	0.012287563	0.95331556	0.03431014
n	3.179186e-05	0.012046903	0.4664814	0.52143997
t	0.8695217	0.0020813334	0.030725813	0.0976712
a	0.77391195	0.006752761	0.022205837	0.19712943
</S>	9.4882025e-06	0.00025883137	0.033594772	0.9661369
