 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.95203996	0.008812121	0.001435713	0.007538988	0.0018597572	0.001440185	0.004400066	0.002437559	0.0004788961	0.009726646	0.00036408528	0.009465975
j	0.086783215	0.9068377	0.0013454896	0.0007527698	0.00022238435	2.548605e-05	1.7799666e-05	1.8479499e-05	5.968977e-07	1.4460127e-05	1.3893051e-06	0.003980286
i	0.81337297	0.1857033	0.0007484169	0.00010962313	4.072719e-05	1.6341276e-06	1.5071009e-06	3.7794537e-06	4.814309e-06	3.1614195e-06	7.677486e-06	2.5230236e-06
n	0.010700042	0.9612495	0.009498802	0.012648569	0.0036916817	0.00026281213	0.00019557156	0.00015529431	5.2575833e-06	8.4533494e-05	4.77461e-06	0.0015031123
è	0.10240292	0.6950699	0.15360698	0.021182716	0.01912942	0.0013177553	0.00054366846	0.00071502075	0.004570646	6.664415e-05	0.0001577021	0.0012366144
k	0.00023386227	0.93881273	0.05833948	0.0022321234	0.00024218774	1.9408648e-05	6.3470943e-06	8.412781e-07	1.14460896e-07	1.9500114e-07	9.992344e-10	0.000112792106
a	0.05187777	0.5993644	0.25322506	0.04704818	0.042062476	0.0053644245	0.0009018915	6.9813716e-05	3.8103506e-05	4.3351996e-05	4.3566519e-07	4.080795e-06
è	0.00042064153	0.40971455	0.54453367	0.03852149	0.0053988174	0.0009102492	0.00022174159	8.153377e-06	1.5468046e-06	1.7858605e-06	1.7529069e-09	0.00026735527
n	8.067821e-05	0.716816	0.16169302	0.113881946	0.005194455	0.0012934121	0.00051303493	7.463337e-05	9.696207e-05	5.254485e-05	3.8680177e-08	0.00030321736
e	0.0014201954	0.13748422	0.24349496	0.43189567	0.13216652	0.044528373	0.0076696407	0.00046453153	0.00045826024	6.866706e-05	1.4093844e-07	0.0003488588
k	0.00038135008	0.054228064	0.24902606	0.63199866	0.052503932	0.0070457426	0.0024064756	0.0002509617	6.0810362e-05	0.00013126963	7.805097e-08	0.001966628
a	0.017560642	0.037367396	0.28538805	0.47920692	0.16691753	0.009976051	0.0014959207	0.00031804174	0.0016540807	4.8430426e-05	5.3629865e-06	6.149964e-05
p	0.0007027436	0.0021845666	0.05294905	0.64825284	0.26877925	0.01944288	0.0057886103	0.0009218034	0.00010161818	0.00020411286	9.29209e-07	0.0006715972
à	0.003992517	0.007802084	0.094615325	0.45074674	0.39557314	0.039408226	0.0051659914	0.0007230983	0.0016196725	0.00015527502	3.7772604e-06	0.00019410331
c	1.2729056e-05	8.7276065e-05	0.0015120303	0.5610435	0.19573997	0.1850922	0.04792756	0.00589401	0.0015484061	0.0006932208	1.3600571e-06	0.00044773793
e	4.2566266e-05	0.002585969	0.0111871585	0.7941869	0.102730736	0.05450803	0.008864832	0.013674922	0.0036899426	0.006752938	0.0017022375	7.370485e-05
n	6.8859874e-05	0.0006284484	0.010949704	0.7494156	0.11435754	0.07536481	0.0152069405	0.0028961261	9.982077e-05	0.00091433385	2.625416e-06	0.030095236
a	0.0055893837	0.0024914541	0.035520475	0.6035605	0.2851234	0.061136704	0.0050633186	0.0003957678	0.0009849415	8.644367e-05	1.437238e-07	4.742024e-05
p	3.1667514e-05	6.337808e-05	0.001504179	0.0765995	0.8348605	0.04634226	0.03416243	0.004267117	0.0004017763	0.0012643423	2.2955826e-06	0.00050057506
u	0.006393478	0.0033960312	0.031836018	0.28586382	0.52746344	0.12039878	0.018837033	0.0025244672	0.0023326606	0.0007665974	1.4455964e-06	0.00018623655
l	2.6990738e-05	4.380085e-05	0.000836856	0.032194965	0.86801904	0.045172658	0.044516467	0.0061715106	0.00054319575	0.0019413612	4.828045e-06	0.00052842527
