 	era	molto	stanco	</S>
ì	0.99592245	0.0014279397	0.0007960023	0.0018536276
o	0.8493423	0.14132854	0.0014671804	0.007862053
n	0.16254823	0.7034881	0.057738937	0.076224715
e	0.84017795	0.15644851	0.0015954992	0.0017781317
p	0.120523065	0.8753702	0.0024064498	0.0017001688
o	0.079200804	0.89872605	0.02030165	0.0017715824
d	0.020415505	0.9508193	0.016962137	0.011803033
d	0.033616576	0.87693715	0.083460554	0.005985669
h	0.120694295	0.719539	0.048513357	0.11125334
ì	0.0002073184	0.0054053417	0.0039979606	0.9903894
s	0.0077646202	0.022553904	0.37585452	0.59382695
t	0.0012522952	0.26353562	0.7158401	0.01937199
r	0.006791194	0.032195102	0.38781977	0.57319397
à	0.056557644	0.07343286	0.38637805	0.48363146
k	0.013533838	0.0058877603	0.6044945	0.37608382
k	0.0014130955	0.014728902	0.9585596	0.025298445
o	0.051220857	0.008991404	0.507059	0.43272877
</S>	0.0025675974	0.0001038689	0.22723436	0.77009416
