 	non	ho	dove	d	andare	</S>
e	0.6218156	0.0072984924	0.0013264014	0.0007255797	0.0065696826	0.3622643
n	0.80158055	0.18451251	0.0099148685	0.0009817457	0.00018361278	0.0028266362
è	0.022343116	0.11159667	0.18150854	0.0793229	0.015631855	0.5895969
c	0.0026661034	0.84150445	0.12853807	0.025006475	0.00025537878	0.0020294543
h	0.006424682	0.25854108	0.49209836	0.21136126	0.030846657	0.00072805554
o	0.12715177	0.79418844	0.060236603	0.015144719	0.00033773755	0.0029406839
p	0.0064272243	0.042640805	0.7742701	0.15238792	0.0064980704	0.017775951
u	0.0019977991	0.077607825	0.7101071	0.19584036	0.0046990565	0.009747821
è	0.00023589177	0.00047807826	0.43919668	0.5002407	0.03896429	0.020884395
n	0.00023246414	5.712774e-05	0.085248	0.3995707	0.45560375	0.059287917
a	0.00034114055	0.0008609955	0.11008202	0.5265768	0.35125414	0.010884892
p	0.00057437527	9.040294e-06	0.0099726645	0.22171581	0.6581005	0.10962757
à	3.201018e-05	0.0003097909	0.043843944	0.31709787	0.62119204	0.017524336
o	0.0046675564	1.5040079e-06	5.578938e-05	0.002335703	0.9057507	0.08718876
</S>	2.2178987e-05	2.6293426e-07	3.711392e-05	0.011738258	0.62356526	0.36463687
