 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.9730599	0.008513866	0.0008874283	5.6008084e-05	9.548126e-05	0.0003386761	0.00074836327	0.00011265365	0.016187709
j	0.18298987	0.79215944	0.008106275	0.0052173263	0.00015374477	0.001836161	0.0030911372	1.1623346e-05	0.0064344457
i	0.8875688	0.10959933	0.0012974142	0.0012373278	3.351405e-05	0.00011282174	9.8650016e-05	2.6233215e-06	4.9406714e-05
n	0.022320509	0.79482925	0.08447213	0.06254014	0.0019245031	0.012868432	0.015662972	1.4646211e-05	0.0053673643
è	0.039029356	0.42611817	0.19648238	0.28241405	0.013192715	0.016823623	0.010485984	0.006032239	0.00942151
k	0.0005760824	0.8885266	0.10764617	0.0022127184	0.0009013898	7.730353e-06	5.00699e-06	1.5091837e-07	0.00012416572
a	0.0520775	0.54088396	0.21759962	0.17331281	0.0006869802	0.014142631	0.00097024953	0.00031578963	1.0427107e-05
p	0.0007706806	0.360804	0.5504291	0.073092565	0.014007471	0.0004114169	5.388662e-05	4.525249e-07	0.00043041678
u	0.0052975668	0.09852175	0.78097135	0.11145936	0.0024755993	0.0011188652	0.00011811178	3.5398574e-05	1.9102556e-06
l	0.0017249541	0.04275251	0.7233908	0.22169693	0.007399172	0.0016577333	0.00019446685	2.2653408e-06	0.0011811272
i	0.0012730977	0.007737474	0.62190676	0.35938925	0.0025332484	0.005722764	0.0004222185	0.0009934099	2.1799937e-05
z	0.0019418363	0.0048199715	0.23348941	0.72543865	0.0145673305	0.01467844	0.0013295423	1.1104758e-05	0.0037236763
z	0.002752247	0.0035558043	0.2091194	0.72901535	0.005321188	0.034377676	0.0030619728	0.012569213	0.0002270879
è	0.8433276	0.04040715	0.01728801	0.046767134	0.027676499	0.0037917958	0.0006259889	0.0013824714	0.018733464
i	0.000371561	0.0055409414	0.18701373	0.18931016	0.42340568	0.06970128	0.019333791	0.00078953395	0.10453336
o	2.6968435e-06	0.00045457773	0.037075054	0.029766956	0.88248307	0.013312262	0.006028598	0.023317903	0.0075588813
s	8.3545965e-05	0.0016566722	0.028092604	0.0888032	0.8083573	0.041274425	0.013386497	0.014997431	0.0033483035
p	0.03355352	0.011552445	0.11205188	0.19107258	0.34985983	0.13610093	0.14596906	0.017707335	0.002132473
ì	0.10985417	0.031681426	0.03877689	0.33962405	0.1588967	0.21072108	0.024491088	0.02583466	0.06011991
t	9.17649e-05	3.5930272e-05	0.0026082445	0.02524257	0.71000296	0.10759541	0.095176846	0.030465696	0.028780598
i	0.0020699394	0.002182284	0.0059778104	0.13050582	0.10026926	0.5729975	0.041473802	0.13543372	0.009089801
o	8.694826e-05	0.00010226715	0.008390578	0.106174074	0.2391294	0.33477584	0.21660294	0.048102416	0.046635542
à	6.0950316e-07	1.5442154e-05	0.0029878782	0.0037958997	0.29999575	0.05844358	0.027360404	0.60246557	0.00493483
n	3.1516586e-07	2.1496217e-07	0.00011077231	0.0033329846	0.31909168	0.07880805	0.050660882	0.54734236	0.00065264694
t	1.6522758e-05	0.0005326041	0.0049549397	0.03152607	0.71494037	0.02663784	0.012699134	0.20829746	0.00039502242
r	0.11520119	0.024205409	0.007491258	0.007069462	0.06734449	0.4056539	0.28758186	0.020735081	0.06471733
e	0.29907182	0.009031281	0.0048665917	0.0026767696	0.042248044	0.16138205	0.1695669	0.072477296	0.23867927
p	4.647476e-06	6.991268e-06	0.0007479372	0.00078588456	0.019409519	0.0741137	0.3737858	0.46635115	0.06479441
o	6.803475e-05	0.000128406	0.0017180641	0.0011876288	0.021377468	0.15239033	0.017146014	0.6500044	0.15597966
d	1.1422766e-05	2.2705426e-05	0.0022525713	0.0015500556	0.006493264	0.060085393	0.42200187	0.31218806	0.19539467
è	0.00020513177	0.0002673413	0.0029740587	0.0011899179	0.0056042164	0.059100073	0.035192765	0.8818386	0.013627919
g	0.0012445505	1.5811846e-05	8.148246e-05	3.0098096e-05	0.01280246	0.0024456305	0.0707748	0.66266704	0.24993813
g	5.128825e-06	2.7450935e-05	0.00028722867	0.00021599514	0.001255258	0.02534194	0.0029399595	0.8622171	0.10770997
h	0.00042993078	0.0022744962	0.003834088	0.0016276749	0.0069182315	0.024348633	0.10053272	0.49396423	0.36607
e	0.0061997026	0.0032661306	0.004489193	0.0010697241	0.0039058567	0.037406735	0.06833163	0.14597641	0.7293546
</S>	1.5903255e-05	4.1768017e-06	0.00014536051	6.031772e-05	0.0008662293	0.0035338881	0.05013145	0.18936966	0.755873
