 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
s	0.28664112	0.6014169	0.0030917923	0.0024020888	0.0055467607	0.002911896	0.013849715	0.008397978	0.07574175
ò	0.99485517	0.0033232232	4.1259627e-06	0.00050295953	0.00022878425	5.141442e-05	0.0003052396	6.7426377e-06	0.0007222717
z	0.9492759	0.038933218	0.009924602	0.00051790336	7.815004e-05	6.837606e-05	2.48269e-05	9.2192374e-07	0.0011759613
i	0.98451865	0.005266618	0.007836955	0.0018356175	0.00024856412	0.00016138166	0.000115575735	1.3248063e-05	3.2878245e-06
m	0.059186026	0.69867164	0.21527709	0.02375737	0.0018980148	0.0006753657	9.202574e-05	2.9185713e-07	0.00044206492
i	0.8138017	0.18252629	0.0009884768	0.0024120726	0.0001555377	3.7698683e-05	3.6383313e-05	4.6141768e-08	4.1802323e-05
n	0.003398943	0.36522582	0.546447	0.069624364	0.005253255	0.0024674786	0.00052618084	2.7528838e-06	0.0070542884
o	0.41175398	0.012957128	0.49538794	0.07355743	0.0042186086	0.0010611024	0.0007455731	2.8033626e-05	0.00029021804
m	0.009891483	0.22034347	0.59336704	0.15672848	0.013779841	0.0050205938	0.00051989936	6.387045e-06	0.00034281122
i	0.69481456	0.26519075	0.001476152	0.028424034	0.0071780956	0.00066205865	0.0016211808	2.6142495e-06	0.0006306106
l	0.0008870317	0.07864793	0.5582158	0.29036817	0.035195585	0.0112746395	0.0023851495	4.3494496e-05	0.02298223
ì	0.06253387	0.0016755643	0.55674577	0.3007255	0.03861952	0.014423692	0.014067844	0.0009966217	0.010211596
s	2.9225315e-05	0.008427453	0.14692238	0.505397	0.31258413	0.019956011	0.0057810945	0.0001948373	0.0007078273
i	0.0012500002	0.0011403294	0.84568566	0.13182995	0.018138679	0.0012566417	0.0001964737	0.0004644325	3.7813104e-05
a	0.0006129047	0.009805944	0.20510684	0.5702099	0.16391818	0.041337375	0.006808975	0.00059572805	0.0016041322
t	1.29578075e-05	0.00023056047	0.11265081	0.28969017	0.23856892	0.25460282	0.062191937	0.035063226	0.0069886134
ù	0.5003018	4.170453e-05	0.28215083	0.06693249	0.06455945	0.03759443	0.028939383	0.005779622	0.013700302
t	9.904654e-05	7.632978e-05	0.18968846	0.38899875	0.22318374	0.14143409	0.038757652	0.015236741	0.0025251955
t	0.0007009016	0.0006225986	0.43243387	0.33492142	0.15789378	0.03542257	0.0073318826	0.029679367	0.0009936156
o	0.052332353	0.012027026	0.0426754	0.30880028	0.24236846	0.14341623	0.06726249	0.010544295	0.120573394
p	2.9984315e-06	8.885008e-06	0.0065649166	0.06755148	0.26315153	0.38955262	0.17170222	0.046788294	0.054677065
r	0.0021248527	5.1752926e-05	0.089767866	0.106665894	0.1863492	0.35097224	0.08300443	0.15033779	0.030725913
à	0.09013323	0.0012861819	0.006957912	0.119566	0.32725823	0.23728481	0.18346658	0.009951473	0.024095604
m	0.00039582408	7.284482e-05	0.00053566485	0.007475547	0.27714044	0.042680036	0.16101497	0.31628245	0.19440219
m	4.9070815e-05	3.8053095e-05	0.022099027	0.0069487724	0.033358984	0.35354036	0.11493527	0.42978707	0.039243393
a	1.4240021e-06	0.00016436778	0.0018906596	0.07548825	0.27879003	0.14795825	0.039415535	0.26593632	0.19035514
m	1.4262903e-06	1.6407e-06	0.00016981352	0.0009930526	0.03260998	0.1017595	0.14801335	0.3745873	0.34186393
e	8.7357756e-07	8.9905276e-05	0.0001059045	0.04200489	0.5409904	0.09048031	0.053857222	0.027926667	0.24454378
t	8.0890885e-08	2.4584906e-06	3.3145752e-05	0.0016707567	0.123970754	0.14702325	0.28539413	0.17000544	0.2718999
i	0.001729041	0.00013747596	0.019610913	0.025480645	0.13374674	0.22463153	0.20540793	0.33728576	0.05196994
n	5.7734206e-07	2.2168604e-06	0.00019064096	0.0011533774	0.033567037	0.0935529	0.20892306	0.51883876	0.14377142
A	0.00013722587	3.8721414e-06	0.0016410392	0.0010594582	0.0028127693	0.01329155	0.0155452145	0.96158004	0.0039289747
n	3.8893277e-06	4.5151337e-06	3.3235105e-05	0.0005765344	0.05046532	0.012330536	0.08155365	0.7539914	0.101040915
n	2.1882815e-06	0.001084292	0.0003130679	0.002630353	0.023029013	0.010747069	0.006119628	0.9548361	0.0012382985
a	0.0024415872	0.0018317983	0.002924227	0.0026661674	0.011703781	0.0063545634	0.048188176	0.8492349	0.074654736
</S>	4.0903083e-06	3.7967775e-06	8.292704e-06	2.6889635e-05	0.0008857473	0.00075882743	0.014118141	0.6169827	0.36721146
