 	non	ha	che	li	aspettiamo	</S>
e	0.9043231	0.0013657794	0.0005744432	0.0031375322	0.0010378804	0.08956121
n	0.87333655	0.089723796	0.012416367	0.02233074	0.0005445825	0.0016479688
è	0.010200268	0.062292155	0.08953919	0.033568878	0.020553354	0.78384614
n	0.0020557928	0.7652857	0.20818986	0.019254766	0.0013169829	0.0038969275
a	0.040002406	0.6922265	0.052342333	0.16444573	0.047005154	0.003977883
t	0.0015293334	0.061663706	0.48736742	0.4182373	0.021687178	0.009515045
u	0.0028237235	0.52594215	0.12370722	0.19820932	0.1383128	0.011004813
s	0.0021839668	0.003399739	0.31348038	0.5838161	0.06798999	0.029129742
m	0.00022656473	0.05386036	0.2070643	0.3015672	0.38896355	0.048318002
ì	0.00891008	0.040991753	0.4753388	0.04112866	0.013325676	0.42030498
n	0.015150541	6.0214243e-05	0.007880364	0.009817785	0.04252072	0.9245703
o	0.014575335	0.29909584	0.08948815	0.27187905	0.29440552	0.030556103
m	0.0006463272	1.2687769e-05	0.0038802293	0.10723455	0.35757184	0.5306544
e	4.9710605e-05	8.783648e-05	0.036909275	0.07247942	0.082477495	0.80799633
</S>	1.9583731e-05	1.0871827e-06	0.0030174335	0.01588788	0.11178376	0.86929023
