 	non	mangiare	la	sera	</S>
m	0.14480472	0.0114782825	0.008549538	0.013719585	0.8214479
i	0.9795498	0.011574384	0.0075931177	8.978807e-06	0.0012737609
f	0.23892848	0.32733253	0.35589346	0.008100676	0.06974484
a	0.004175595	0.09572332	0.6641937	0.023445018	0.21246238
i	0.19530937	0.7098993	0.083470546	0.000245888	0.01107492
o	0.018384727	0.22356746	0.6675383	0.046343133	0.044166368
v	0.0033023308	0.06991211	0.87766117	0.029752132	0.019372288
r	0.00075612974	0.009244787	0.8646881	0.10978408	0.015526914
à	0.020037502	0.09296861	0.82200974	0.013250361	0.051733725
i	0.0009920748	0.00037277528	0.050977264	0.7879012	0.15975662
</S>	0.00029996148	0.00012178553	0.07552662	0.48450705	0.4395446
