 	avete	fatto	già	le	verdure	</S>
a6	0.0066895173	0.017404985	0.07076223	0.08438043	0.28675467	0.5340082
a46	0.00022996895	0.13357337	0.00036027492	0.03882709	0.8107722	0.0162372
a21	0.009476169	0.9691227	5.6558078e-05	0.0034070443	0.013852444	0.0040849126
a20	0.05660902	0.7760189	0.0010201714	0.055057615	0.084741056	0.026553087
a24	0.0045727068	0.9508761	2.1988559e-05	0.002879672	0.034601722	0.007047816
a31	0.0015732376	0.8244961	6.226051e-05	0.0015681844	0.16633159	0.005968709
a14	0.003387264	0.9012123	0.00027254273	0.0032810802	0.08700131	0.004845592
a41	0.00038380336	0.9373003	0.00015754323	0.0021482657	0.05571299	0.004297101
a37	0.00048556825	0.89826417	0.00052200543	0.007472692	0.08086764	0.012387866
a31	0.0023473059	0.7734392	0.0011055114	0.01895614	0.18508688	0.01906499
a6	0.004789228	0.7789135	0.0016648632	0.012192189	0.1830171	0.01942314
a46	0.0022398445	0.058955375	0.099522546	0.21752882	0.5524058	0.06934766
a31	0.004625883	0.21114323	0.0575558	0.12762932	0.4995156	0.099530235
a17	0.006444006	0.8471965	0.03340845	0.027765578	0.07940052	0.0057848925
a20	0.010302529	0.17221704	0.06847447	0.17281064	0.43920246	0.1369929
a31	0.008634534	0.08494383	0.08295538	0.19828694	0.36589417	0.25928515
a17	0.04343553	0.23003991	0.09748644	0.17516844	0.2188856	0.2349841
a20	0.02002946	0.12484589	0.044396717	0.17810297	0.32050437	0.31212053
a31	0.045939274	0.11773123	0.096426144	0.19868481	0.23457457	0.30664396
a20	0.0960403	0.1635952	0.11893191	0.13200971	0.17003779	0.31938508
a17	0.02846391	0.061376996	0.03781176	0.13711272	0.26822078	0.46701378
a31	0.100353815	0.1754582	0.1688247	0.19594918	0.17581798	0.18359615
a23	0.12442858	0.1607666	0.13532871	0.14299014	0.16711183	0.26937413
a31	0.02995929	0.04289228	0.03499064	0.13314028	0.28676823	0.4722493
a8	0.1347513	0.15702695	0.13501887	0.14674313	0.16642739	0.2600324
a31	0.05949098	0.071182646	0.06604296	0.14248896	0.26757172	0.3932228
a28	0.1440156	0.15709981	0.13944472	0.16559534	0.16784158	0.22600292
a21	0.08686943	0.09374856	0.091322035	0.14341539	0.24223897	0.3424056
a31	0.14763461	0.16403432	0.16657045	0.16663274	0.1701781	0.18494974
</S>	0.1601119	0.16371669	0.1601403	0.16497461	0.1692445	0.18181196
