 	ho	cosa	a	fare	</S>
a23	0.13286965	0.14122334	0.06578277	0.11186206	0.5482622
a17	0.18500113	0.61235684	0.05069761	0.11316228	0.038782153
a31	0.25531247	0.116481125	0.006039855	0.6189597	0.0032068177
a8	0.066182524	0.017511303	0.01723906	0.87818146	0.020885618
a31	0.41079965	0.10382483	0.03541034	0.41466707	0.03529813
a13	0.78226703	0.16591898	0.005431998	0.045567404	0.00081459456
a24	0.10183994	0.47316745	0.024992475	0.24537635	0.15462385
a31	0.16886501	0.6332961	0.019625753	0.16636944	0.011843658
a13	0.6539076	0.14076082	0.0484534	0.11688639	0.039991766
a31	0.114046365	0.066771425	0.2006218	0.5323312	0.08622919
a18	0.32712224	0.15699628	0.18829493	0.13995267	0.18763384
a0	0.079243965	0.06188783	0.09135828	0.38677058	0.3807394
a39	0.066293314	0.06339268	0.11450373	0.3753831	0.38042718
</S>	0.04037106	0.042183455	0.12375419	0.39569703	0.39799428
