 	non	ha	da	mangiare	</S>
a31	0.33257103	0.1828097	0.069027424	0.07411186	0.34148008
a20	0.109166354	0.88059103	0.0074672983	0.001842988	0.0009322998
a31	0.03697692	0.6418639	0.063392535	0.24559183	0.012174889
a41	0.91775936	0.07760077	0.0033970815	0.001180523	6.240611e-05
a10	0.057928152	0.34793603	0.11703985	0.3159431	0.1611528
a31	0.030016404	0.25463274	0.119584925	0.25316575	0.34260023
a15	0.66426706	0.26603097	0.055714805	0.010820055	0.0031670663
a31	0.15311638	0.39564002	0.14507057	0.2680222	0.038150806
a39	0.27240148	0.09018487	0.080398336	0.19517364	0.3618417
a37	0.069338396	0.09033674	0.09090142	0.31167918	0.43774432
</S>	0.10289631	0.09880184	0.114877835	0.2617041	0.42171997
