 	può	che	sono	ancora	svegli	</S>
a31	0.2813942	0.053614758	0.09387347	0.052436147	0.07924941	0.43943202
a7	0.004197429	0.08657491	0.012657297	0.86592424	0.030404815	0.00024136194
a31	9.164307e-08	0.022417853	0.000109525776	0.88469434	0.09168199	0.0010962427
a7	0.00035868623	0.16971466	0.005869224	0.49200583	0.3233243	0.008727272
a31	4.0732102e-05	0.2661559	0.0020986514	0.5358829	0.18127084	0.014550968
a37	0.00079517136	0.10351613	0.0013108146	0.6346613	0.25159937	0.008117182
a31	5.4660977e-05	0.08896431	0.0007925067	0.7232584	0.17194697	0.014983181
a39	0.002801218	0.027048294	0.00080336194	0.60395974	0.3502879	0.015099489
a31	0.067457676	0.012918184	0.0020673017	0.32543948	0.50767404	0.08444337
a20	0.121608	0.027451852	0.01147778	0.09952729	0.32494798	0.41498706
a31	0.5810382	0.008958134	0.011740507	0.025913112	0.1620223	0.21032773
a46	0.20232944	0.01656187	0.014599639	0.027064642	0.15390652	0.58553785
a8	0.18473151	0.03559752	0.03711737	0.07027241	0.364762	0.30751917
a46	0.1770266	0.026463397	0.026140627	0.050142135	0.32229856	0.39792868
a8	0.12924463	0.055460967	0.051745027	0.09237313	0.3584774	0.31269878
a31	0.22117732	0.075437754	0.060483355	0.10359968	0.2865798	0.25272208
a20	0.25076824	0.07077237	0.073831476	0.08732923	0.28857413	0.2287246
</S>	0.047015034	0.050825097	0.036589447	0.10443622	0.4063711	0.3547631
