 	il	muro	vuole	uno	specchio	</S>
a23	0.118529454	0.100691386	0.04323882	0.04527709	0.09467998	0.59758323
a20	0.22756124	0.014486034	0.62983423	0.08679304	0.022176096	0.019149376
a31	0.93931615	0.000118137854	0.0065438203	0.03300366	0.0147269955	0.006291175
a24	0.41743046	0.00041836876	0.012553984	0.51957244	0.02611767	0.023907088
a31	0.7274809	0.006872074	0.018829277	0.1284286	0.033905804	0.08448343
a13	0.9427252	0.009712647	0.009024512	0.02977534	0.0018017946	0.006960496
a39	0.31037003	0.0031657317	0.058084402	0.0323075	0.23293486	0.36313748
a20	0.04582653	0.00043110742	0.0055803917	0.01878483	0.13042301	0.7989541
a31	0.5395127	0.003701886	0.008768365	0.09622857	0.10609678	0.2456917
a24	0.40244156	0.04090659	0.020087777	0.4120178	0.08967208	0.034874197
a8	0.09389965	0.010380732	0.013819839	0.7109232	0.092712715	0.07826382
a31	0.311106	0.03589963	0.046840794	0.4127133	0.070598975	0.12284132
a20	0.12805282	0.06938646	0.14930539	0.15833023	0.14715867	0.34776643
a31	0.21547098	0.06557521	0.091781415	0.14405464	0.1215614	0.3615563
a29	0.1481659	0.12681377	0.1194126	0.18910448	0.155241	0.26126224
a31	0.17434208	0.11848575	0.12494197	0.17063412	0.16006036	0.25153574
a8	0.1740796	0.13841614	0.12191904	0.23972109	0.14668873	0.17917538
a20	0.16546415	0.14341867	0.14458461	0.17246717	0.16633114	0.20773417
</S>	0.13390231	0.12913637	0.13248602	0.21718618	0.18719263	0.20009656
