 	che	impara	una	cosa	che	studia	una	cosa	</S>
a31	0.074746564	0.36322433	0.03688952	0.0066863648	0.004279151	0.024190014	0.013973535	0.09672768	0.37928283
a24	0.44880337	0.043066695	0.08991189	0.082201555	0.20459938	0.026722364	0.07143417	0.025436968	0.007823665
a31	0.030916374	8.799518e-06	6.4231244e-05	0.01603424	0.95214695	1.2046697e-05	8.188582e-05	0.0006913226	4.412192e-05
a20	0.10776186	0.03639166	0.41235346	0.3105937	0.1015765	0.00014481726	0.016553296	0.008481621	0.006143052
a0	0.043034613	0.0389997	0.0139762405	0.101851344	0.77181786	0.0006099668	0.0034883036	0.021468641	0.004753279
a31	0.057585146	0.019546878	0.03579665	0.15206364	0.10660513	0.000105347426	0.04092185	0.5245553	0.06282007
a20	0.1218138	0.24760005	0.37169418	0.13030109	0.0052096383	0.0005928792	0.06749869	0.010964779	0.04432498
a11	0.1525296	0.41960308	0.098040834	0.10260325	0.09030808	0.0007116858	0.043224424	0.084584534	0.00839453
a20	0.04186379	0.5585348	0.20139493	0.04397676	0.07595576	0.0013672297	0.01487572	0.030862477	0.031168556
a39	0.015575446	0.33117035	0.38160503	0.07425869	0.09482698	0.0043140557	0.010776252	0.020752205	0.06672102
a10	0.0024770123	0.026228705	0.08673896	0.21682435	0.57776064	0.002407998	0.007992798	0.047381267	0.03218835
a31	0.0021625033	0.041326094	0.09337507	0.16808267	0.6492093	0.0020258615	0.003075695	0.020995483	0.019747257
a20	0.0061481055	0.24525614	0.15778126	0.1319542	0.41289225	0.008536076	0.0044260006	0.010930996	0.022075072
a31	0.019553568	0.22346608	0.25296924	0.21329914	0.0991742	0.01277255	0.013285404	0.032737635	0.13274215
a11	0.15123102	0.24849933	0.088092215	0.13923499	0.13550599	0.056187823	0.046947848	0.056783173	0.07751753
a20	0.038344573	0.18269184	0.07986514	0.14088333	0.068939246	0.038583297	0.04587862	0.08087888	0.32393512
a39	0.04268904	0.30997804	0.093318306	0.19514605	0.094704896	0.050874468	0.044260483	0.055323865	0.11370486
a20	0.05527855	0.23901375	0.098775	0.17755353	0.12071987	0.06225884	0.055824857	0.0687289	0.121846676
a31	0.06827007	0.14745055	0.09171195	0.10978599	0.11049352	0.06964434	0.07014961	0.093053564	0.23944044
a46	0.09597515	0.13402088	0.110440604	0.16469605	0.11278243	0.09110833	0.09082032	0.0950508	0.10510534
a31	0.084957674	0.10029936	0.09607998	0.10110684	0.1095854	0.083812684	0.08845126	0.107208475	0.22849841
</S>	0.16040574	0.124683686	0.10184697	0.101422824	0.1086163	0.09803742	0.09817383	0.10035523	0.10645799
