 	forse	sono	usciti	</S>
a23	0.024441365	0.4301016	0.2074392	0.3380178
a31	0.8761175	0.027162941	0.08990092	0.006818653
a23	0.19037674	0.00024037254	0.73273075	0.07665219
a31	0.6583745	0.00026860661	0.33840057	0.0029564276
a10	0.77968484	0.0039273757	0.17637087	0.040016953
a37	0.7878944	0.000115143164	0.19803159	0.013958817
a31	0.7987626	4.191629e-05	0.1990873	0.00210816
a37	0.49400052	0.076607615	0.39259455	0.03679728
a31	0.96594864	0.013228966	0.019217826	0.0016044884
a39	0.16077282	0.56109667	0.13903621	0.1390943
a31	0.03237202	0.028594377	0.83561826	0.103415355
</S>	0.13716576	0.19128655	0.2502014	0.42134625
