 	che	non	li	aspettiamo	</S>
a20	0.08751169	0.070098534	0.12328633	0.2500853	0.4690182
a8	0.80317676	0.16936082	0.007155616	0.005085597	0.015221207
a7	0.9481289	0.04979881	0.000107953776	6.719201e-07	0.001963716
a35	0.6927557	0.089637786	0.024189455	0.00017702386	0.19324002
a46	0.8223005	0.17293538	0.002187865	2.464223e-05	0.0025517251
a31	0.7817061	0.20585528	0.0064857802	6.6277964e-05	0.0058866036
a11	0.619656	0.16904198	0.057229944	0.0010585657	0.15301351
a31	0.2986912	0.55004543	0.07696762	0.0008628509	0.07343291
a0	0.7239921	0.17531809	0.077795	0.008381596	0.014513167
a31	0.33484754	0.20172516	0.16359119	0.12785347	0.17198266
a30	0.18018475	0.08753293	0.059687946	0.09921429	0.5733801
a0	0.26104632	0.04658687	0.013185093	0.046378344	0.6328033
a31	0.048612133	0.05838409	0.12631534	0.40854967	0.35813877
</S>	0.091386415	0.09792295	0.12319948	0.1167306	0.57076055
