 	le	ragazze	vogliono	guardate	</S>
a10	0.24188393	0.22671162	0.10716311	0.059751716	0.3644896
a20	0.042157866	0.89195067	0.004724427	0.055829488	0.0053374856
a31	0.45609826	0.53911215	0.0011653958	0.0034436737	0.00018055522
a20	0.5110163	0.47157595	0.0009970213	0.013775351	0.0026352871
a11	0.36230633	0.5706324	0.003828077	0.02754237	0.0356908
a31	0.14756414	0.37302658	0.015204402	0.17848137	0.28572357
a0	0.537826	0.41023788	0.005686816	0.028270617	0.017978698
a31	0.6398098	0.3041648	0.014331488	0.022276973	0.019416882
a39	0.6349749	0.26383677	0.041693714	0.03451813	0.024976453
a18	0.22298406	0.4683006	0.16166358	0.08696802	0.06008373
a31	0.2744485	0.38624242	0.0917898	0.082639694	0.16487959
a8	0.13419516	0.20447573	0.24402577	0.15692267	0.26038066
a31	0.11452479	0.108422026	0.5233288	0.07340036	0.18032403
a46	0.11830887	0.15358886	0.31831	0.1422132	0.26757905
a18	0.12917455	0.12432835	0.42045543	0.13213144	0.19391027
a35	0.13850808	0.14743404	0.20657924	0.22001952	0.28745914
a31	0.18920922	0.1713842	0.24936871	0.1674259	0.22261195
a39	0.17544845	0.18818922	0.2305162	0.18838027	0.2174659
a8	0.1662548	0.17301223	0.24960276	0.18815544	0.22297478
a23	0.1794702	0.18326387	0.2124366	0.20135356	0.22347572
</S>	0.17901371	0.18632063	0.23936184	0.18500683	0.21029699
