 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.011427174	0.029601756	0.004917917	0.0031982155	0.00422639	0.03791564	0.004115121	0.009739938	0.0042181993	0.0051693306	0.06525594	0.2324294	0.102042966	0.485742
a20	0.000258375	0.0005744947	0.00019654389	0.00015049221	0.00017239558	0.104069114	0.008910866	0.19902086	0.20030224	0.35411438	0.0560458	0.049345706	0.024323566	0.002515145
a13	0.0072880737	0.00085274223	0.00080858526	0.005532062	0.27083918	0.4271546	0.07318993	0.122836284	0.065018915	0.02546045	0.00035164665	0.00017117456	0.00038647265	0.00010986931
a31	0.0665155	0.013183837	0.009688536	0.041465856	0.13596326	0.20184661	0.16363038	0.20358926	0.10109907	0.034156278	0.0005083459	0.0016312936	0.024492776	0.0022290559
a28	0.00042169334	0.00018649979	0.000100985526	0.0007602061	0.19859418	0.16847496	0.035222135	0.06922937	0.15619384	0.31973583	0.0059405155	0.015690295	0.02709363	0.0023558105
a31	0.0034014834	0.005954866	0.0052206665	0.011060706	0.2777554	0.14435178	0.09141019	0.21355143	0.10583819	0.12194542	0.008543507	0.005725573	0.005060649	0.00018008471
a21	0.0057203285	0.0008180465	0.0004710292	0.007703367	0.68527323	0.17222649	0.00769124	0.02076801	0.0053981957	0.039243184	0.0054297275	0.03783077	0.009619847	0.0018065575
a31	0.003397863	0.0037024578	0.003943993	0.012759831	0.8921112	0.051165514	0.0039867265	0.01069467	0.0015675167	0.012773176	0.001116213	0.002303683	0.00041368473	6.3548156e-05
a20	0.013745104	0.010688192	0.0027553698	0.019313034	0.12387299	0.5473889	0.053137362	0.16299996	0.01841868	0.0057096398	0.0035357894	0.008715665	0.011868156	0.01785118
a28	0.005626107	0.0029518006	0.0010729415	0.00533906	0.18503793	0.6657285	0.017232297	0.06008545	0.0075405776	0.0055989907	0.0074099987	0.021975925	0.004182946	0.010217473
a27	0.0007852236	0.0034030124	0.00079475384	0.0014154082	0.035491128	0.6973338	0.02024257	0.028672025	0.007649866	0.014890307	0.060047667	0.08406371	0.009216058	0.035994448
a17	0.0032063234	0.023567582	0.003507521	0.0046182154	0.033249218	0.21392703	0.005428909	0.019422712	0.012368712	0.28066912	0.2899759	0.09447157	0.012638106	0.0029490523
a4	0.00059768994	0.005425584	0.0004981937	0.0003145681	0.00067702343	0.020518504	0.0034101058	0.0085148765	0.018492913	0.3793846	0.44616657	0.11139599	0.0042638136	0.0003395365
a13	0.004045686	0.05025298	0.0024870518	0.0017331351	0.004361175	0.34566626	0.0036533594	0.07715954	0.049725622	0.12372511	0.15570462	0.13100632	0.04501719	0.0054619187
a31	0.0019104851	0.016772335	0.0014654793	0.0007882849	0.0020848296	0.018758899	0.002110423	0.00853606	0.013621475	0.39638156	0.34391817	0.17033873	0.022411289	0.0009019314
a18	0.0018787021	0.015163604	0.0026483412	0.0028983555	0.0048238644	0.13306783	0.009772877	0.07845568	0.0667086	0.36031097	0.26804617	0.045032986	0.010552458	0.00063950534
a36	0.0045121927	0.022721197	0.0051963255	0.012256874	0.025370834	0.19125095	0.0050858473	0.054340273	0.077205114	0.40025136	0.11122065	0.047986552	0.040808156	0.0017936471
a46	0.0026398734	0.013750508	0.003075876	0.006735254	0.017568309	0.08156194	0.005077844	0.051348273	0.068735436	0.21391992	0.15087722	0.15549046	0.21259736	0.016621718
a31	0.004205417	0.029600333	0.005433175	0.01077842	0.01960854	0.16851059	0.003737676	0.06198118	0.08641353	0.37082532	0.07320628	0.048061207	0.11240566	0.0052326727
a20	0.0041695153	0.027257893	0.0147815235	0.027175095	0.055621587	0.18214986	0.010061434	0.058770075	0.066105835	0.3788683	0.10475839	0.044613782	0.023807203	0.0018594714
a8	0.002953217	0.007718212	0.004237249	0.007877784	0.017980052	0.026829472	0.008996077	0.030064609	0.024612453	0.081044644	0.1758462	0.32119235	0.25110018	0.03954746
a31	0.0022094457	0.009358242	0.0054540974	0.010681049	0.021403423	0.04679398	0.008852942	0.037616804	0.03943862	0.06771942	0.11243506	0.29207438	0.28817487	0.057787698
a24	0.0052598245	0.036345404	0.033768874	0.06329297	0.31494534	0.28319585	0.022696314	0.039240442	0.045836795	0.08267132	0.023612047	0.031386245	0.013334181	0.00441439
a46	0.0096863285	0.050345577	0.039559606	0.056360718	0.03693442	0.10260316	0.059620026	0.10632189	0.110924594	0.090966225	0.0672861	0.11295608	0.13956198	0.016873308
</S>	0.004481513	0.026607972	0.027490849	0.018930672	0.007578774	0.01681418	0.020496674	0.03879775	0.029013535	0.084076196	0.109414935	0.25911075	0.3214363	0.035749935
