 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a8	0.08816662	0.08045336	0.012954544	0.011351732	0.0660902	0.030751565	0.158167	0.552065
a31	0.007663315	0.029827977	0.017044213	0.09897958	0.00038241412	0.65008354	0.19564436	0.00037459147
a8	0.13849913	0.07520113	0.08079173	0.20961674	7.39005e-06	0.299946	0.03209124	0.16384667
a31	0.22226042	0.28650638	0.07744489	0.17128842	1.0664527e-05	0.22912619	0.010976308	0.0023867367
a46	0.01554538	0.009513028	0.018767936	0.014142517	2.367634e-07	0.05000973	0.88952625	0.0024948164
a31	0.014857643	0.16245966	0.11179338	0.38072348	2.7604183e-05	0.2847033	0.007846239	0.037588675
a20	0.04411513	0.026197366	0.008840926	0.0008613856	2.8053778e-06	0.012512635	0.9009239	0.006545865
a31	0.062784806	0.0407645	0.042337995	0.08815231	5.3487194e-05	0.19641557	0.5589823	0.010509047
a13	0.10158377	0.12232068	0.013294085	0.0059066904	0.00015556002	0.033962693	0.6196827	0.10309377
a17	0.04205909	0.018158777	0.0049910075	0.0007390697	1.4889819e-05	0.0247916	0.8824607	0.026784942
a8	0.0042290427	0.0026515448	0.0010686362	0.00029774828	1.08284885e-05	0.008856751	0.9802249	0.0026605623
a31	0.0031058134	0.001689862	0.00082989933	0.0003653346	3.3947106e-06	0.011765297	0.9817888	0.00045152954
a8	0.20494935	0.08077671	0.013926084	0.009763339	0.006010626	0.028853234	0.5621664	0.09355422
a20	0.0970245	0.15213174	0.023095679	0.011394722	0.024954004	0.03827173	0.6081783	0.044949304
a31	0.037922278	0.039499477	0.006817302	0.0015549823	0.00016215978	0.0043275305	0.90873575	0.0009805579
a28	0.208367	0.14982228	0.041942526	0.03304563	0.02937312	0.022554513	0.4257811	0.08911385
a31	0.14363754	0.28808126	0.051827263	0.029370755	0.045433775	0.020970004	0.36259344	0.058085978
a38	0.33104536	0.18834786	0.11778463	0.10369862	0.09424271	0.013184202	0.07622885	0.07546775
a31	0.1530427	0.41159648	0.09199142	0.051798347	0.05923641	0.018236348	0.14932534	0.06477295
a17	0.35345677	0.18265885	0.14480515	0.11943675	0.092990644	0.01094663	0.03321013	0.06249506
a3	0.09722465	0.4009081	0.16084671	0.07801871	0.06274865	0.025383424	0.09093275	0.08393703
a10	0.14635335	0.44644895	0.12944394	0.069692455	0.059591446	0.014867049	0.07702078	0.05658202
a20	0.16165812	0.6113786	0.10471771	0.0145727275	0.009834386	0.006260663	0.074994124	0.01658367
a35	0.13617122	0.64214337	0.16596986	0.011662741	0.004270154	0.0028463271	0.030330926	0.0066053104
a37	0.10458413	0.7376909	0.12154809	0.011195009	0.0032603387	0.00195749	0.015577097	0.004186941
a23	0.11326558	0.7322149	0.110365056	0.012991432	0.0037564056	0.0020367398	0.021749375	0.0036204527
a20	0.21319011	0.56655955	0.09398422	0.023263967	0.021562899	0.006162128	0.05356418	0.021712959
a31	0.09812421	0.57606214	0.11519112	0.03430381	0.025032904	0.013513747	0.08838852	0.04938345
a0	0.07074973	0.3451279	0.27394298	0.09003372	0.05192516	0.03401492	0.08581611	0.048389513
a31	0.11084798	0.46479264	0.17344229	0.08405522	0.056023937	0.015878413	0.065616906	0.029342618
a13	0.07962683	0.27315515	0.28216812	0.14945446	0.10109836	0.031342477	0.043499038	0.039655533
a31	0.08248911	0.3001896	0.22834784	0.12440277	0.09181322	0.028758474	0.07224531	0.07175368
a39	0.102475956	0.24923766	0.25786346	0.17471625	0.12698288	0.022706281	0.03468144	0.031336132
a17	0.044726707	0.1696868	0.12683213	0.061864585	0.07243153	0.06250363	0.2232487	0.23870595
</S>	0.08611155	0.1431915	0.15175036	0.09882762	0.093785554	0.09013577	0.16796432	0.16823334
