 	non	ho	cosa	è	da	mangiare	</S>
a31	0.05772132	0.03917004	0.004405819	0.00818792	0.023751805	0.060086884	0.8066762
a8	0.11465071	0.10725768	0.01183247	0.4715984	0.26301375	0.027684312	0.0039627156
a31	0.057159215	0.15634026	0.1396478	0.24727176	0.03553594	0.36373624	0.0003088083
a37	0.2569115	0.101891845	0.29652056	0.2960238	0.028157376	0.020109413	0.00038560524
a20	0.06458709	0.054751914	0.052253686	0.6211872	0.06993316	0.113871776	0.023415238
a31	0.023093892	0.058390483	0.048139565	0.2768524	0.24204154	0.31346262	0.038019504
a17	0.13212463	0.7840809	0.039994817	0.013495	0.024047852	0.005345799	0.0009109495
a20	0.017886735	0.12698045	0.10845771	0.12052615	0.21032855	0.37397483	0.041845564
a31	0.021635165	0.3195408	0.026727917	0.037466407	0.3539407	0.21265574	0.028033279
a39	0.15300101	0.34294418	0.0810355	0.039424006	0.1745551	0.12511729	0.08392291
a35	0.02660144	0.17118281	0.013611015	0.029789584	0.3184178	0.24139266	0.19900475
a39	0.041033205	0.20362805	0.03308494	0.08019214	0.23084998	0.19696143	0.2142503
a46	0.048944026	0.2251056	0.03452514	0.06878138	0.18191504	0.30073375	0.1399951
a35	0.06350505	0.3011451	0.02557886	0.024951514	0.10445101	0.22653545	0.25383303
a31	0.08882346	0.20374554	0.056847878	0.06765753	0.11589028	0.23897904	0.22805627
</S>	0.092332885	0.12403864	0.094010435	0.123555996	0.15031566	0.23720838	0.17853796
