 	l'	ha	scritta	</S>
a20	0.09759497	0.11379103	0.34122354	0.44739053
a31	0.64846474	0.33315226	0.011060123	0.0073228832
a35	0.8652423	0.12062839	0.013340934	0.0007882949
a31	0.07626401	0.11045152	0.061530545	0.7517539
a35	0.99196446	0.00699472	0.0006176973	0.00042313337
a31	0.09626008	0.41171536	0.23874	0.2532845
a41	0.6239762	0.24114631	0.08562233	0.049255125
a31	0.22006711	0.39722428	0.26295742	0.119751155
a11	0.72277427	0.117560595	0.062118102	0.09754708
a18	0.26855716	0.18453103	0.15288913	0.39402264
a13	0.2043839	0.0911636	0.104420744	0.6000318
</S>	0.031374883	0.035486683	0.15895961	0.77417886
