 	dei	genitori	</S>
a31	0.21947974	0.22834189	0.5521784
a20	0.21222837	0.61442715	0.1733445
a31	0.021115819	0.19027449	0.7886096
a18	0.90629876	0.08412304	0.009578202
a24	0.0005166759	0.0065313205	0.9929519
a28	0.0011511864	0.006517411	0.9923314
a31	0.0056254584	0.0046992777	0.9896752
a20	0.90292555	0.039005656	0.058068834
a31	0.8289561	0.07370395	0.0973399
a20	0.7459894	0.12572157	0.12828903
a39	0.4297159	0.2753525	0.2949316
a46	0.34004125	0.3158712	0.3440876
</S>	0.31152654	0.30972245	0.37875098
