 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
a31	0.30593893	0.1706025	0.021099398	0.016005566	0.011611949	0.07504967	0.031003313	0.07382852	0.29486015
a8	0.008162434	0.04220208	0.001203291	0.003098728	0.0073585627	0.00027226645	0.5175856	0.4173447	0.0027724048
a31	0.005086209	0.00331147	1.1263915e-05	0.0072074076	0.5123733	1.0174347e-06	0.07476123	0.39387342	0.003374639
a10	0.028002521	0.0008199636	1.5144429e-06	0.00073207985	0.002624099	5.814995e-06	0.5533934	0.38686636	0.027554195
a39	0.010348436	0.012966819	5.613928e-06	0.0047366642	0.025719395	3.3290795e-05	0.059351623	0.87814784	0.008690252
a31	0.0007255124	0.008292414	1.4993771e-05	0.008143903	0.016246423	0.00026095952	0.78153366	0.14109854	0.043683495
a20	0.014981759	0.0032411697	3.85629e-06	2.2537333e-05	0.00016652183	9.399717e-06	0.030006737	0.94569814	0.005869926
a31	0.0070863557	0.0074657416	1.4557565e-05	0.00039812483	0.004316367	0.00014091449	0.0118823275	0.95848775	0.010207876
a8	0.012878116	0.004226889	4.625955e-05	0.00015079194	0.00069540733	0.00030933885	0.2933837	0.54875886	0.13955069
a31	0.02651304	0.024957722	0.0004072882	0.0012326951	0.0033190276	0.004664831	0.24077158	0.6627881	0.03534571
a17	0.016521432	0.006195336	0.00061202946	0.0010631385	0.0010800041	0.0018344143	0.2671545	0.57139575	0.13414337
a37	0.02043113	0.028784717	0.0029071835	0.004531199	0.0050397078	0.011528703	0.1823323	0.7023322	0.04211285
a23	0.00693661	0.0092059	0.00038851803	0.000770691	0.0012573707	0.0037817995	0.18861066	0.75341374	0.035634745
a31	0.07363467	0.046855956	0.00042116805	0.001439706	0.0023657007	0.0048171273	0.11813945	0.74522376	0.007102475
a42	0.05086509	0.030663274	0.006979428	0.008249667	0.008014035	0.0103101265	0.14280114	0.48324716	0.25887012
a31	0.06377776	0.114513814	0.005897283	0.014106134	0.012262613	0.044414468	0.24874862	0.469705	0.026574409
a20	0.108781256	0.04435897	0.01850547	0.021310434	0.018176883	0.024846228	0.059626542	0.33339387	0.37100032
a31	0.070829846	0.16030215	0.034424435	0.033343233	0.022482805	0.06983634	0.14793946	0.38706154	0.07378018
a17	0.17675342	0.068464875	0.0444563	0.042885758	0.03142782	0.050002728	0.035661325	0.20688467	0.34346303
a31	0.09771303	0.17791887	0.10805166	0.043539733	0.02662094	0.05886219	0.08910085	0.2532734	0.1449193
a20	0.18865757	0.07744057	0.05802974	0.049584746	0.033531655	0.058498703	0.030475473	0.16112472	0.34265688
a31	0.08688097	0.17722599	0.11129766	0.041024167	0.025189074	0.062097896	0.0911836	0.23865612	0.1664446
a46	0.21809661	0.08630377	0.07621803	0.049524177	0.029044876	0.055353057	0.030787056	0.1135628	0.3411096
a8	0.0695987	0.14783363	0.13960053	0.03557039	0.025158463	0.051107768	0.08838213	0.22558065	0.21716774
a31	0.1286287	0.13978502	0.10237624	0.045343824	0.027081612	0.06231679	0.04607089	0.16974618	0.27865076
a18	0.08419211	0.10677955	0.19877376	0.047816288	0.040593855	0.052459057	0.067922816	0.14120303	0.26025957
a31	0.119715266	0.15563387	0.1253701	0.04877307	0.029105406	0.06564736	0.047160268	0.16241929	0.24617541
a20	0.10771207	0.13311705	0.14373523	0.044988338	0.027594715	0.058352757	0.050974485	0.15619671	0.27732867
a31	0.048570853	0.10566643	0.11101535	0.030447315	0.025168588	0.048752487	0.10113559	0.24463485	0.28460857
</S>	0.119609974	0.075867206	0.13544773	0.030621508	0.022522582	0.03264645	0.050231505	0.09593917	0.43711388
