 	non	li	aspettiamo	più	</S>
a3	0.052012175	0.10645553	0.23283224	0.37394094	0.23475909
a31	0.53920895	0.24836984	0.02278156	0.13997477	0.049664967
a35	0.92431533	0.028686771	5.9076505e-05	0.045238465	0.0017004334
a31	0.099118985	0.049027186	0.00066856266	0.32484278	0.52634245
a13	0.7154059	0.027708884	0.003655361	0.25176156	0.0014682807
a31	0.09222036	0.44205803	0.037350386	0.2194012	0.20897001
a15	0.19906129	0.4029333	0.22214898	0.08053887	0.095317565
a31	0.05332311	0.1352271	0.28370577	0.48028296	0.04746103
a46	0.17405878	0.12826629	0.2028381	0.20603941	0.2887974
</S>	0.019510902	0.014676005	0.02083658	0.43878037	0.50619614
