 	qui	dentro	vuole	un	tappeto	</S>
a31	0.29781973	0.27463195	0.22256753	0.081800595	0.06816066	0.055019494
a18	0.23836063	0.43944708	0.13788705	0.057842314	0.109456316	0.017006582
a10	1.8264513e-05	0.013885358	0.33608708	0.2671457	0.3700422	0.01282141
a31	4.786954e-06	0.010515383	0.5020852	0.24178788	0.18169448	0.06391222
a14	0.00012732006	0.08710531	0.20117472	0.34615603	0.36484078	0.0005958384
a31	0.00011104421	0.009643527	0.374569	0.28183025	0.3141424	0.019703811
a39	0.14864792	0.40784395	0.28505513	0.08395621	0.06374954	0.010747286
a31	0.0067687174	0.04133952	0.10665462	0.22590931	0.600142	0.019185835
a39	0.26366955	0.16000055	0.13495079	0.09015899	0.06191958	0.2893006
a33	0.08213759	0.19152023	0.2379329	0.20091142	0.12442817	0.16306962
a31	0.11851939	0.27079523	0.20497464	0.10777943	0.099185824	0.19874553
</S>	0.1980928	0.15107808	0.15215035	0.15652686	0.15192531	0.19022658
