 	i	genitori	non	li	dimentichiamo	mai	</S>
a33	0.016851256	0.011477364	0.0054663587	0.004332741	0.0055884803	0.20877549	0.74750835
a31	0.7500254	0.020914553	0.014626926	0.17775539	0.027588733	0.0061206147	0.0029683688
a8	0.16201432	0.18606977	0.04853603	0.59513617	0.0029395183	0.0014567536	0.003847471
a31	0.15919009	0.033046335	0.13721526	0.6445121	0.002978236	0.002750638	0.020307355
a8	0.6044267	0.024996575	0.0502265	0.30636203	0.005483496	0.0040795202	0.004425244
a31	0.16340896	0.27565998	0.038865555	0.41442323	0.02114027	0.0154095	0.07109255
a46	0.8603665	0.053198006	0.049733993	0.015213239	0.0056521907	0.008792026	0.0070439246
a31	0.081941284	0.013562398	0.23680152	0.5488187	0.006475341	0.050764225	0.06163646
a39	0.8621223	0.022754809	0.047824956	0.015442525	0.020309815	0.010520668	0.021024898
a31	0.31400692	0.044063333	0.262145	0.2930106	0.019245915	0.033411343	0.034116916
a24	0.6727283	0.053291008	0.074812986	0.038371626	0.07922939	0.027529772	0.054036967
a15	0.2895837	0.06759295	0.17816557	0.07265676	0.041454356	0.105286755	0.24525984
a31	0.44914213	0.061132655	0.09046996	0.018014342	0.012942468	0.09039992	0.2778985
a28	0.219497	0.16034198	0.1514166	0.14149049	0.14187153	0.072526425	0.11285598
a31	0.19834982	0.1824004	0.14812651	0.13659751	0.080213666	0.057745554	0.19656652
a18	0.21853021	0.16124137	0.14400062	0.13621773	0.13892162	0.063677475	0.13741107
a31	0.1827807	0.16420521	0.13665041	0.12473241	0.07750619	0.06437781	0.24974726
a20	0.20949486	0.16149434	0.13655433	0.13306655	0.12590273	0.062248908	0.1712383
a11	0.14550082	0.17864574	0.098040774	0.10462634	0.06501071	0.09064402	0.31753156
a13	0.1897237	0.25948384	0.1224696	0.1570877	0.09190342	0.06757456	0.111757256
a17	0.17185423	0.24113926	0.115715995	0.14834951	0.07869246	0.0696087	0.1746398
a20	0.14092232	0.17716426	0.12086277	0.13167086	0.10587035	0.12527078	0.19823866
a39	0.15011671	0.17846534	0.13947599	0.14563027	0.12090641	0.12202401	0.14338124
</S>	0.15067339	0.19609055	0.14262204	0.15852025	0.12170385	0.11316773	0.11722219
