 	vuole	vuole	mangiato	caldo	</S>
a37	0.091469385	0.08665004	0.26442212	0.2364575	0.32100093
a31	0.3601388	0.5211413	0.046954453	0.05047725	0.021288138
a41	0.8727298	0.12142669	0.002700465	0.0027185865	0.00042441167
a31	0.07715484	0.160957	0.23988424	0.054790966	0.46721303
a11	0.8966118	0.035297234	0.010156256	0.0568297	0.0011049715
a20	0.064272545	0.41824222	0.30268773	0.024889618	0.18990786
a31	0.18445946	0.11778208	0.3853161	0.21494445	0.09749785
a18	0.34381565	0.10019547	0.030668072	0.29946524	0.22585557
a31	0.040356994	0.102782816	0.3254839	0.5073362	0.024040027
a20	0.25030038	0.16590928	0.16891971	0.21229106	0.20257959
a21	0.086324565	0.034862384	0.028043237	0.6091085	0.24166127
</S>	0.017329946	0.012616476	0.030249769	0.6159326	0.32387117
