 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
a23	0.013998372	0.025917027	0.012526682	0.016045691	0.012357031	0.06276867	0.04240285	0.09357268	0.72041094
a31	0.0003904016	0.00015012316	0.0005348268	0.0002794026	0.0026969998	0.11837536	0.8769545	0.00012520934	0.00049318594
a38	0.15758736	0.05305654	0.05863537	0.013144532	0.027172117	0.26817444	0.08669666	0.013695705	0.32183728
a17	0.3069265	0.111171596	0.014331903	0.005949761	0.010074823	0.5465903	0.0018630526	7.236105e-05	0.0030197115
a31	0.06838218	0.051248718	0.10510531	0.033963032	0.05843106	0.10876216	0.11519783	0.0017100011	0.45719975
a41	0.053564765	0.07187925	0.099183194	0.001028038	0.04697167	0.7198249	0.0038704586	4.8312602e-05	0.0036294376
a17	0.04271898	0.045058955	0.1680034	0.001637724	0.20313935	0.41417825	0.064732425	0.0002507093	0.060280256
a31	0.09439031	0.09606253	0.1383604	0.001220593	0.1651883	0.43866718	0.043778952	0.0005291628	0.021802599
a0	0.07146615	0.010360247	0.054242413	0.0016814922	0.049278237	0.7914309	0.02047346	0.00012266714	0.000944508
a31	0.008974008	0.0034633754	0.060714215	0.0029922947	0.47758904	0.4086873	0.03700876	4.9819737e-05	0.0005212112
a37	0.017955901	0.009307514	0.06220399	0.00082685647	0.172748	0.44996566	0.27112564	0.0069367588	0.008929684
a10	0.026144996	0.014726041	0.082649924	0.02910941	0.04454328	0.6825145	0.10634942	0.005615501	0.008346916
a31	0.010931994	0.015152248	0.03360971	0.004535632	0.021223431	0.7581064	0.1525472	0.00096343894	0.0029299802
a16	0.0063173454	0.010423431	0.016705753	0.005434032	0.07107475	0.5719124	0.2973271	0.011703676	0.009101524
a17	0.0022630135	0.013741804	0.013560612	0.006034944	0.0053429636	0.06779866	0.85050374	0.02071777	0.020036431
a20	0.0020745446	0.009965538	0.008475923	0.011660164	0.010311947	0.18571217	0.74929136	0.0062969215	0.016211431
a31	0.0051625143	0.013767623	0.0121857645	0.0075925956	0.007261984	0.60874784	0.34057862	0.00094417826	0.0037588512
a39	0.005262305	0.024647336	0.022708833	0.022994142	0.019173594	0.23239523	0.642933	0.01536838	0.014517223
a20	0.003585132	0.016523281	0.013956686	0.020231817	0.008336079	0.058821514	0.8162545	0.02880368	0.033487372
a31	0.004937683	0.02129294	0.01729648	0.046164878	0.009986502	0.12011246	0.7391031	0.016150255	0.024955768
a33	0.021786055	0.054568682	0.045655448	0.116754405	0.030147761	0.051781002	0.6218857	0.030417494	0.027003411
a48	0.0023325381	0.008612103	0.007835488	0.015406797	0.0029150473	0.004187704	0.89764524	0.03239195	0.028673165
a31	0.0052859695	0.011151704	0.010219062	0.020674517	0.0060808654	0.008826941	0.766292	0.0811373	0.09033169
a19	0.054375127	0.103752844	0.09194974	0.24367009	0.06444975	0.06788683	0.26103568	0.05961651	0.05326344
a31	0.01881679	0.0415421	0.036183108	0.0512164	0.021029554	0.027642827	0.5862625	0.1132592	0.10404752
a37	0.08656565	0.10214391	0.1205385	0.20102791	0.11289385	0.07726288	0.14035136	0.08120527	0.07801068
a31	0.050749447	0.059816174	0.058390092	0.08315685	0.05221321	0.05414124	0.1877274	0.23595656	0.21784903
a8	0.10160654	0.095989466	0.13674636	0.15606831	0.14500184	0.07568593	0.120333016	0.084687464	0.0838811
</S>	0.047160156	0.051778603	0.05146864	0.059530575	0.046996642	0.04828313	0.15179239	0.28167883	0.26131102
