 	sto	e	cucino	</S>
a31	0.81510305	0.03941782	0.0874019	0.058077253
a20	0.026552375	0.88284487	0.0051057725	0.08549701
a31	2.0535067e-06	0.9962591	0.0005175056	0.0032214257
a37	0.006132298	0.9098083	0.0013683895	0.08269103
a18	0.0014188132	0.78505224	0.079047635	0.13448127
a31	2.172538e-05	0.97717845	0.00974957	0.013050291
a20	0.44431847	0.4481297	0.040929705	0.06662213
a31	0.0037821422	0.8285757	0.009378656	0.15826347
a28	0.6628823	0.061393153	0.07013686	0.20558767
a33	0.34652516	0.16464505	0.26007006	0.22875972
a31	0.38152644	0.21186435	0.30702856	0.09958067
</S>	0.39949557	0.1893902	0.1919823	0.21913192
