 	non	ha	che	li	aspettiamo	</S>
a46	0.15195234	0.07779373	0.013343634	0.093036436	0.34667987	0.317194
a31	0.079665355	0.47310823	0.33531445	0.028585812	0.026420113	0.05690598
a15	0.7567999	0.1281127	0.09901707	0.0034027179	7.8828874e-05	0.012588803
a31	0.11491881	0.43014145	0.1752357	0.09145615	0.0019559185	0.18629202
a28	0.12618327	0.14632158	0.71606064	0.0079561	0.0023786835	0.0010998008
a20	0.18456024	0.5588682	0.014039244	0.041531622	0.015363095	0.18563758
a11	0.058580026	0.6694823	0.15812075	0.036761932	0.0007318342	0.07632312
a31	0.015884079	0.2383699	0.55491495	0.14179367	0.00065180095	0.048385724
a11	0.09619811	0.6915005	0.063133225	0.07895989	0.038051717	0.032156575
a31	0.0031949764	0.06962662	0.7392091	0.06733121	0.08244736	0.03819068
a46	0.21565992	0.11520107	0.054083638	0.07069447	0.4349277	0.10943319
a31	0.027974878	0.1975723	0.15050216	0.19065434	0.06145573	0.37184054
a11	0.5670017	0.07578119	0.085083395	0.09019585	0.08948643	0.09245144
a31	0.13042681	0.09615346	0.11676274	0.25504106	0.12612523	0.2754907
a11	0.55553496	0.07952007	0.092093185	0.09419389	0.089099206	0.08955872
a46	0.16784629	0.15965924	0.15992653	0.1644094	0.16228737	0.18587115
</S>	0.1627056	0.16173653	0.163244	0.16990755	0.16585773	0.17654857
