 	non	aveva	dove	a	stare	</S>
a31	0.11803858	0.1441359	0.107894756	0.19677065	0.35227647	0.080883615
a8	0.52440935	0.26999995	0.06908726	0.05449155	0.06580788	0.016204014
a31	0.0015918696	0.0007064286	6.190366e-06	0.0013250894	0.93947417	0.056896243
a28	0.49846756	0.13693708	0.0019258447	0.012469928	0.33946913	0.010730401
a37	0.007065548	0.052743275	0.004038591	0.0310337	0.6779538	0.22716513
a31	0.0020050013	0.02186038	0.0030363703	0.009675172	0.69372356	0.2696995
a18	0.24259746	0.2141446	0.05710895	0.28844047	0.18532813	0.012380383
a0	0.008653604	0.09274932	0.0071451943	0.006828384	0.8769044	0.007719081
a23	0.010130461	0.022703331	0.07017516	0.4242643	0.43335813	0.039368607
a8	0.003942616	0.02059182	0.11759632	0.17423953	0.6271711	0.05645859
a31	0.006805828	0.015129962	0.008999883	0.09449799	0.8685226	0.0060436996
a20	0.026311325	0.05263101	0.09640248	0.43474656	0.3636166	0.026292011
a31	0.042510275	0.0803045	0.13576227	0.41295075	0.28249937	0.04597281
a20	0.10179167	0.13020894	0.14185089	0.252783	0.23403412	0.13933136
a24	0.05855676	0.067801215	0.09268035	0.35427856	0.26035118	0.16633199
a8	0.061875954	0.08039159	0.15797265	0.40298817	0.22538424	0.0713873
a31	0.09496745	0.11463391	0.21347184	0.30690032	0.17791866	0.09210777
</S>	0.13530922	0.1442003	0.16671214	0.22215304	0.18714727	0.14447808
