 	mi	sono	vestito	</S>
a39	0.0880648	0.46867952	0.117264345	0.32599127
a11	0.9622239	0.011097865	0.025002295	0.0016760607
a13	0.9546359	0.0024214303	0.042661477	0.0002811595
a18	0.94149244	0.008393611	0.033716686	0.0163974
a31	0.98193526	0.0059547154	0.008871624	0.0032383134
a37	0.8438937	0.0025204883	0.13401555	0.019570237
a15	0.9321976	0.028130116	0.03351005	0.006162272
a31	0.73257405	0.10771187	0.11749174	0.04222243
a46	0.18785316	0.09886996	0.6293142	0.083962746
a31	0.096734114	0.04272493	0.71412176	0.14641924
a20	0.06271973	0.031343885	0.46289015	0.44304624
a31	0.0915233	0.053279888	0.6644966	0.19070019
</S>	0.059549868	0.016859755	0.1992527	0.72433764
