 	venne	scritto	</S>
a31	0.03249554	0.41631356	0.5511909
a28	0.9982937	0.0016300814	7.6228804e-05
a8	0.99133074	0.008521097	0.00014815165
a31	0.9704962	0.02075023	0.008753666
a20	0.9991578	0.0008044058	3.7803755e-05
a31	0.9968849	0.0018874642	0.0012276414
a13	0.81562585	0.16063443	0.02373972
a29	0.2795058	0.39203325	0.328461
a39	0.6208785	0.23744991	0.14167158
a31	0.68932676	0.18427514	0.12639815
a35	0.5346678	0.16639484	0.2989374
a31	0.40042204	0.20676221	0.39281577
</S>	0.22929734	0.24876085	0.5219418
