 	lo	sentii	che	viene	</S>
a43	0.59855634	0.026796872	0.017384322	0.09947647	0.25778598
a17	0.010640056	0.9744892	0.0053170556	0.006157299	0.0033964457
a11	0.11076684	0.26238307	0.031500414	0.58406967	0.011279957
a31	0.13917507	0.17867059	0.04805802	0.6138772	0.020219179
a46	0.08458821	0.119970635	0.063007124	0.7136971	0.018736947
a6	0.22366345	0.6476211	0.05525731	0.0698049	0.0036532257
a31	0.022869019	0.71548617	0.1193304	0.13303219	0.009282296
a15	0.22985746	0.76430553	0.0044684596	0.0012505105	0.000118109
a20	0.9363164	0.050909497	0.0020686456	0.010061127	0.0006445028
a31	0.15626025	0.79266447	0.02130966	0.024846451	0.0049191024
a17	0.019541213	0.94199026	0.02909542	0.008158662	0.0012145635
a31	0.103947654	0.61288166	0.06810166	0.15445262	0.060616404
a13	0.046453357	0.73715043	0.066028945	0.066035494	0.08433174
a39	0.028815137	0.44896588	0.16655123	0.24931729	0.10635051
a46	0.012152683	0.8172515	0.11298983	0.041090675	0.01651528
a31	0.056304246	0.61920416	0.057059508	0.12954886	0.13788328
a18	0.0895812	0.45916578	0.1675047	0.12539086	0.15835752
</S>	0.09426396	0.3761612	0.1286611	0.14827088	0.25264287
