 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
a31	0.13660695	0.0175445	0.0041571893	0.0040101795	0.015420458	0.06044284	0.40466347	0.35715443
a3	0.0009772397	0.00037862707	0.00027367103	0.00014321016	8.489032e-05	5.965056e-05	0.99766135	0.00042131648
a17	0.00032236316	0.012326682	0.010188671	0.90019387	0.0010498724	3.3903578e-07	0.07578379	0.00013446275
a28	0.02872146	0.21998721	0.03962503	0.47261128	0.0070347483	1.4989023e-05	0.18821241	0.043792907
a20	0.01387288	0.4078028	0.022577072	0.16492207	0.007013283	3.7279995e-05	0.31931245	0.06446218
a24	0.0052082045	0.16054605	0.007507744	0.030038591	0.0029524798	4.345745e-05	0.78078014	0.01292343
a46	0.004004769	0.02806204	0.0011243913	0.0017002999	0.0014178249	2.7072709e-05	0.9621205	0.0015431688
a19	0.0030441885	0.015462636	0.00055003195	0.00081101677	0.0009823556	1.5384992e-05	0.9788801	0.00025425712
a46	0.010177397	0.017361788	0.0010648142	0.001563585	0.0037275953	8.636481e-05	0.9630117	0.0030067666
a31	0.046910092	0.082112975	0.020996885	0.0070458585	0.012071868	0.0021633017	0.8267018	0.001997166
a7	0.075307585	0.042684715	0.004518763	0.0053898185	0.0070338463	0.000875734	0.8616192	0.0025703614
a27	0.11518749	0.26910368	0.025436018	0.030497352	0.017077813	0.0047948947	0.53144395	0.006458805
a11	0.2417004	0.41957095	0.021173533	0.057831723	0.012864191	0.010868808	0.19649056	0.039499838
a18	0.21790896	0.55099195	0.027226739	0.09061423	0.007483563	0.004223526	0.090053745	0.011497301
a31	0.17971914	0.62995636	0.032160647	0.096728995	0.006685627	0.00427699	0.042107634	0.008364617
a27	0.12623158	0.65488863	0.040003974	0.122191824	0.0069684144	0.0020831588	0.04583181	0.0018005589
a31	0.11620301	0.8256551	0.014946276	0.018214675	0.0033549985	0.0027445916	0.011885839	0.0069954987
a20	0.108671896	0.72362965	0.059110712	0.053534452	0.014502014	0.01551539	0.015568542	0.009467324
a11	0.12292482	0.7626293	0.024286352	0.021194896	0.011293341	0.011627188	0.020052118	0.02599202
a31	0.08914564	0.7085508	0.08884366	0.046091925	0.011866071	0.013760999	0.013545922	0.02819505
a20	0.13453539	0.41487744	0.14995545	0.12503298	0.05426802	0.056139633	0.040209595	0.024981424
a31	0.108220205	0.51078016	0.07074589	0.06384377	0.032551475	0.034424976	0.05428654	0.12514699
a39	0.1295095	0.25944036	0.2120073	0.14671066	0.070789196	0.07087715	0.05798699	0.05267886
a31	0.08129206	0.22347334	0.105722934	0.08849233	0.059123244	0.06054621	0.07851898	0.30283096
a8	0.13531862	0.23995489	0.20308773	0.14016855	0.07594771	0.07479279	0.06402908	0.06670071
</S>	0.06783863	0.11777221	0.07886279	0.07425902	0.06547738	0.06697377	0.100813754	0.42800248
