 	non	mi	aspetti	non	vengo	</S>
a33	0.12557065	0.11816651	0.06848338	0.1735953	0.2025397	0.31164452
a31	0.009100119	0.25539193	0.5681869	0.023240937	0.1418741	0.002206082
a37	0.18830879	0.09554722	0.282976	0.016414793	0.022771718	0.39398146
a35	0.017295409	0.19325554	0.19301537	0.0561763	0.38872555	0.15153186
a31	0.0010880147	0.114767745	0.05540699	0.013887421	0.46649516	0.34835467
a7	0.045195002	0.5139216	0.26960433	0.0017445118	0.16352384	0.006010776
a18	0.0031117457	0.5053064	0.2694749	0.020472815	0.1936221	0.008011976
a24	0.02835144	0.2803736	0.39735892	0.008892097	0.2635134	0.021510545
a31	0.038492676	0.16576499	0.15274002	0.029860059	0.60086536	0.012276908
a20	0.068771824	0.16442089	0.09140376	0.028551038	0.4330542	0.21379836
a8	0.005833199	0.015779901	0.009075395	0.098551236	0.5527625	0.31799778
a31	0.0016745551	0.00916563	0.006224232	0.009411486	0.7704725	0.20305161
</S>	0.05996463	0.09453737	0.10672433	0.06746752	0.34785005	0.3234561
