 	ho	finito	di	scrivere	</S>
a38	0.026376186	0.01813395	0.016448975	0.4876783	0.45136258
a31	0.5997322	0.3936816	0.003982832	0.00048588845	0.002117478
a15	0.91157883	0.048380755	0.039325457	6.2169097e-06	0.00070868985
a18	0.874594	0.055830937	0.027201619	0.00052798813	0.041845486
a31	0.40960753	0.047440525	0.19387703	0.0005575394	0.34851736
a37	0.73334235	0.03733177	0.051828165	0.002968193	0.17452945
a31	0.3060353	0.29164743	0.11871558	0.0010894815	0.28251216
a0	0.909078	0.015120488	0.017813198	0.039551675	0.018436685
a31	0.36468858	0.016360223	0.04223113	0.18942435	0.3872957
a18	0.3025537	0.2101344	0.110077515	0.19369678	0.1835375
a31	0.20173958	0.079754055	0.07638077	0.12891622	0.5132094
a39	0.21401642	0.066474184	0.3780348	0.21482496	0.12664971
a20	0.16207895	0.14676976	0.16756263	0.27280813	0.25078058
a31	0.18016168	0.17626537	0.18802904	0.22963046	0.22591347
a8	0.20506382	0.15777221	0.27481216	0.19237489	0.16997696
a20	0.17050172	0.16426414	0.17483626	0.25141776	0.23898013
a31	0.17994222	0.17935936	0.19575359	0.20311716	0.24182764
</S>	0.20071724	0.18618342	0.22217415	0.197803	0.19312215
