 	non	mi	aspetti	che	non	vengo	</S>
a8	0.08706863	0.07693899	0.04333216	0.008313088	0.34854865	0.15170637	0.28409213
a31	0.00069791445	0.015022432	0.045303855	0.77190894	0.016586244	0.14898422	0.0014963573
a24	0.29917786	0.06464331	0.29253712	0.1026012	0.010809254	0.028353615	0.20187765
a31	0.011805381	0.10463821	0.17201309	0.562296	0.0024259803	0.13994731	0.0068740495
a36	0.38899308	0.174342	0.18590446	0.1853551	0.002217238	0.04443559	0.018752621
a31	0.0069340854	0.05825294	0.105303444	0.79545337	0.00059239904	0.0320078	0.001456002
a39	0.017049463	0.16833653	0.005838806	0.005494401	0.123921424	0.47923616	0.20012316
a8	0.0024088172	0.01943324	0.09203969	0.009645934	0.028317481	0.772709	0.075445734
a31	0.06424306	0.18231049	0.050909024	0.007748347	0.09815367	0.50116193	0.095473364
a29	0.0075515467	0.07140901	0.008559831	0.018696103	0.061193116	0.5067283	0.32586208
a31	0.0048712906	0.020860257	0.007080295	0.0026629008	0.1625292	0.6138165	0.18817952
a17	0.011775183	0.02073732	0.004557992	0.024020087	0.037443515	0.6153915	0.28607446
</S>	0.036477204	0.015906831	0.010341675	0.025609957	0.0368642	0.6273602	0.2474399
