 	sembra	che	il	ladro	è	entrato	da	qui	</S>
a31	0.37137115	0.22454451	0.044150542	0.0048422394	0.0037485072	0.004242053	0.009891535	0.057877053	0.2793324
a28	0.04858348	0.1032334	0.06485614	0.10320307	0.02542483	0.40150583	0.24430415	0.0011852981	0.0077038654
a37	2.7771232e-06	0.00011785654	0.0013432717	0.04231116	0.012585298	0.9323764	0.0112510575	4.4852456e-08	1.20782615e-05
a31	4.268387e-05	0.00093716057	0.17364769	0.5878584	0.11301442	0.10794252	0.005195452	1.1103703e-05	0.011350637
a11	0.001669751	0.19613768	0.35621274	0.22302558	0.07790848	0.07853712	0.06519419	1.4300271e-05	0.0013001839
a31	0.0025306281	0.07435852	0.20312971	0.12634167	0.07360332	0.0377668	0.45656255	0.00013412004	0.02557277
a20	0.01130657	0.01591829	0.23734894	0.6998303	0.023146402	0.005520923	0.00502163	0.000169114	0.0017378684
a31	0.119921945	0.06107777	0.16581598	0.442025	0.0605175	0.02021908	0.10045563	0.0083439825	0.021623211
a39	0.042950876	0.34265655	0.21767783	0.07004791	0.043320533	0.043036077	0.06252153	0.046263885	0.13152485
a31	0.048683815	0.2944113	0.30363932	0.06805338	0.050226144	0.030280057	0.069643565	0.076651484	0.058410887
a13	0.047107894	0.42580137	0.1274655	0.028908687	0.032296754	0.043805238	0.06082521	0.09433109	0.13945833
a31	0.05728304	0.3466993	0.19327368	0.04037829	0.029432112	0.030334143	0.07579657	0.1384628	0.088340096
a13	0.046050858	0.3948388	0.116013445	0.023005575	0.025587592	0.043406077	0.078198105	0.1421066	0.13079293
a31	0.049769618	0.30787364	0.21164708	0.04715365	0.020360762	0.02406683	0.08738506	0.17351435	0.07822903
a39	0.04026216	0.3524553	0.108006164	0.020612748	0.023312885	0.048106402	0.106333114	0.1788983	0.12201293
a11	0.03561144	0.352995	0.2615213	0.048792183	0.016133316	0.016972352	0.06499544	0.12779902	0.07517991
a46	0.032711327	0.39264545	0.15332259	0.025863811	0.020585494	0.033594083	0.101055145	0.1558595	0.08436262
a18	0.026923511	0.4250143	0.25837585	0.037780486	0.015280484	0.015737299	0.038143456	0.087899916	0.094844714
a31	0.08175392	0.26126197	0.12932147	0.07396297	0.074211106	0.06767342	0.08746841	0.109238066	0.11510868
a39	0.07528251	0.23335417	0.11369173	0.073471576	0.072787	0.0806315	0.111313395	0.121520154	0.11794794
a18	0.042767353	0.4057522	0.14311731	0.04619035	0.039066885	0.041076515	0.05816698	0.10047114	0.12339131
a46	0.09169234	0.17932914	0.11410035	0.08697499	0.086573966	0.08498615	0.09886453	0.12236815	0.13511041
a31	0.0535577	0.3792911	0.15493178	0.056786574	0.05201744	0.04431392	0.05379348	0.08890199	0.11640609
</S>	0.106565624	0.111919716	0.106628045	0.105947696	0.10753734	0.11091137	0.11787891	0.11489376	0.11771759
