 	l'	ho	sentito	che	viene	</S>
a34	0.33129546	0.4324341	0.080534816	0.054862186	0.048535533	0.05233788
a46	0.06397705	0.07324869	0.050925784	0.07099161	0.369304	0.37155288
a41	0.17431922	0.7923714	0.032952562	6.3557505e-05	0.00018719751	0.0001060582
a19	0.082231745	0.4042057	0.459478	0.0066865254	0.033622507	0.01377558
a31	0.19873463	0.7758139	0.022624621	0.00048546155	0.0018912377	0.00045024775
a20	0.32012883	0.6505291	0.02290371	0.0012377945	0.004837139	0.00036347774
a31	0.15123807	0.8339874	0.00912599	0.0011917567	0.0034216	0.0010352978
a24	0.574071	0.39845058	0.019066768	0.0048857797	0.0014009317	0.0021250271
a31	0.10500121	0.7320349	0.05089268	0.020409724	0.035663385	0.055998184
a23	0.3016364	0.49784485	0.0318468	0.029370619	0.024839053	0.11446228
a20	0.3948445	0.45163238	0.05248186	0.022417663	0.028950308	0.049673285
</S>	0.20084588	0.18882522	0.14452294	0.15384944	0.14569895	0.16625765
