 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
a31	0.09956216	0.056749586	0.00718036	0.060815405	0.013322679	0.015443381	0.03569246	0.04633286	0.66490114
a1	0.014121321	0.001449255	0.0004931867	0.91513234	0.001286474	5.9690366e-05	0.044333417	0.022290617	0.0008337346
a20	0.010136739	5.3383756e-05	0.006199361	0.60389936	0.3568209	0.0017444642	0.0015433254	0.018770317	0.0008321298
a31	0.136775	4.362181e-05	0.12920742	0.303057	0.25176597	0.003619467	0.009937358	0.14716628	0.018427918
a13	0.090603635	0.0040455414	0.0064655677	0.392978	0.0027522014	0.00017022548	0.044426624	0.43638343	0.022174802
a17	0.07733963	0.009419051	0.0028619731	0.5520887	0.0066149975	0.0013592445	0.081651464	0.22302698	0.045637835
a29	0.0028565873	0.00011713319	0.0076140105	0.137847	0.0010795596	0.0024708465	0.16106153	0.5991663	0.087787084
a18	0.00740819	6.85451e-05	0.017756704	0.24649392	0.0019803254	0.00385171	0.120924376	0.5277968	0.07371944
a31	0.0059155556	2.334214e-05	0.0037698632	0.1524858	0.0010294297	0.0029243103	0.21092948	0.58822274	0.034699574
a13	0.09087565	0.0027320485	0.00025063238	0.6645023	0.0072844834	0.0004078588	0.10515522	0.1025355	0.026256233
a18	0.034278195	0.008185048	0.00015609502	0.6361593	0.003279577	0.0001820083	0.107680924	0.20198415	0.008094729
a31	0.033000533	0.0018679802	0.0005195219	0.37311307	0.009502259	0.00069135707	0.34328726	0.22357714	0.014440835
a3	0.027140887	0.044415325	0.0010240744	0.72454184	0.0077219442	0.0020069992	0.044541433	0.1290411	0.01956638
a31	0.073943526	0.11137478	0.012903021	0.09626594	0.027359966	0.015950924	0.064214945	0.24652895	0.3514579
a46	0.049858917	0.07406602	0.05747807	0.25365302	0.16800588	0.12653603	0.06591565	0.10363403	0.10085234
a31	0.03890482	0.03353524	0.039567713	0.07498943	0.08293689	0.09129151	0.18499097	0.3120117	0.14177176
a20	0.041076716	0.10527007	0.09677737	0.08051333	0.3012182	0.24847908	0.023278238	0.025896832	0.07749022
a17	0.031736325	0.03818229	0.06050105	0.047508657	0.14983124	0.12938945	0.09524871	0.27287766	0.17472465
a20	0.033357255	0.035651535	0.060785778	0.05381984	0.21796684	0.10638508	0.07005547	0.27583247	0.14614578
a31	0.07794194	0.04571059	0.07120122	0.08706635	0.20849991	0.09302558	0.07474844	0.22346088	0.11834509
a8	0.04499429	0.09857826	0.13027826	0.061261076	0.30071053	0.22947866	0.03675649	0.048768885	0.04917351
a31	0.030347725	0.026943834	0.04732327	0.033485997	0.14551981	0.103331596	0.09802515	0.33114833	0.1838743
a1	0.022887686	0.06385673	0.07797403	0.02289581	0.4631589	0.269429	0.015243928	0.015477578	0.049076214
a46	0.034935236	0.02305109	0.038536076	0.030356314	0.14875503	0.105311036	0.111731365	0.29477468	0.21254918
a31	0.04256507	0.03910821	0.059081547	0.044877652	0.20107245	0.08923302	0.06549655	0.25552297	0.20304258
a17	0.02860594	0.05832129	0.07161993	0.027835194	0.4841799	0.22957401	0.022091093	0.022959143	0.054813493
a23	0.037525713	0.034404084	0.043038215	0.03655826	0.13726597	0.06828341	0.066797234	0.28656197	0.28956518
a8	0.05074777	0.03732084	0.052463043	0.042199325	0.14665629	0.06977653	0.065783575	0.275401	0.2596516
a31	0.108972855	0.04563115	0.07066453	0.07919941	0.24706815	0.085566245	0.07655011	0.17131382	0.115033746
a8	0.054266285	0.07108477	0.09167821	0.056107327	0.37083	0.16620137	0.052953023	0.06492148	0.07195754
a23	0.033124898	0.030403262	0.038933337	0.033214737	0.127801	0.06392546	0.06926217	0.3090115	0.29432365
a8	0.05358181	0.043783948	0.054049768	0.048802152	0.13982777	0.07029869	0.07071437	0.26008224	0.25885934
a23	0.08331558	0.058468748	0.073074855	0.08236158	0.24205104	0.09415805	0.0797168	0.15790659	0.12894672
a8	0.049878392	0.04255435	0.06471262	0.038724236	0.21349496	0.112006344	0.057296567	0.22221525	0.19911726
a31	0.050997447	0.042007405	0.04970514	0.047394883	0.16311185	0.07332674	0.067502424	0.25239754	0.25355655
a28	0.073249154	0.07050378	0.08450502	0.097531825	0.2595462	0.10225245	0.082729995	0.12987532	0.099806264
a24	0.067938566	0.044505596	0.06557146	0.0632499	0.23034975	0.09495152	0.07507144	0.21906213	0.13929963
a8	0.072520256	0.064799756	0.076589204	0.0706719	0.21967517	0.10194121	0.077381976	0.16018863	0.15623184
a31	0.070607625	0.07210716	0.08072694	0.0679461	0.22888875	0.109827474	0.07329943	0.13828892	0.15830758
a20	0.08968939	0.09227823	0.09986643	0.09025105	0.19957376	0.11754354	0.090522066	0.10857407	0.1117014
a31	0.05582322	0.055818748	0.06540153	0.052597333	0.19162142	0.094104044	0.06749923	0.1950668	0.22206776
a17	0.09248701	0.09793126	0.102336116	0.09212416	0.18848503	0.12267434	0.092372596	0.10163835	0.10995114
</S>	0.056067433	0.056123503	0.059638068	0.057337184	0.09299681	0.06897754	0.07852161	0.24615784	0.28418
