 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.17771345	0.12485508	0.0030535588	0.003613797	0.010455931	0.042692613	0.63761556
a8	0.00032656358	0.022942308	0.05984605	0.765181	0.062051132	0.08843517	0.0012177569
a20	0.00021876211	0.073185936	0.06227396	0.31425905	0.0018347776	0.5304308	0.017796755
a8	0.00087915896	0.058573723	0.05260498	0.15648852	0.0035072747	0.6865431	0.041403215
a31	5.3580417e-05	0.1017728	0.18645656	0.5307511	0.0007841535	0.17229141	0.007890403
a37	2.983313e-05	0.064718775	0.24892998	0.65084606	0.002167277	0.027540939	0.005767117
a10	1.2386579e-05	0.1276375	0.1884189	0.6478843	0.004915526	0.022317693	0.008813621
a31	0.00016563051	0.31055763	0.116337135	0.35533398	0.12520884	0.0846422	0.0077545336
a21	0.0011400533	0.38047725	0.13391896	0.25803357	0.15022402	0.06202162	0.014184493
a31	0.018724976	0.67890114	0.04612685	0.08962413	0.07044299	0.069018535	0.027161248
a10	0.016405767	0.37954357	0.050339095	0.24945018	0.17795008	0.11500052	0.011310855
a17	0.029912839	0.24204378	0.04648543	0.11640276	0.1686211	0.33524042	0.06129363
a20	0.06452534	0.23960039	0.053686574	0.17539707	0.13035099	0.27955762	0.056882083
a31	0.1402916	0.25737563	0.044776987	0.056641214	0.07316369	0.25247118	0.17527974
a39	0.11198873	0.12168092	0.09847408	0.13496907	0.1622	0.17925264	0.1914346
a31	0.1358101	0.19591525	0.077340655	0.08362582	0.10411413	0.18208791	0.22110605
a8	0.11771112	0.12617485	0.115713455	0.122554615	0.14209887	0.16515133	0.21059576
a39	0.110466056	0.11179079	0.08613301	0.09335109	0.10750262	0.16518141	0.3255751
a8	0.12068568	0.11691882	0.13128823	0.16069824	0.17823707	0.14598848	0.14618352
</S>	0.14519705	0.14516327	0.12629479	0.1313659	0.13780741	0.14875063	0.16542095
