 	forse	non	li	ha	a	casa	</S>
a28	0.032642104	0.017348794	0.032503497	0.013008376	0.024762096	0.27635378	0.6033814
a10	0.9785488	0.00074237114	0.0007124187	0.00434697	0.0156229	1.0219891e-05	1.6389411e-05
a31	0.7920891	0.12070127	0.019708253	0.06617909	0.0009935189	3.624031e-07	0.00032835093
a21	0.9703869	0.012477898	0.004397908	0.011625375	0.000982954	1.4999789e-06	0.00012746289
a37	0.9883498	0.0057860445	0.0006895136	0.0038521683	0.0010857589	1.9718254e-06	0.00023483257
a31	0.6545999	0.025596011	0.031709265	0.07081494	0.026385535	0.0005839111	0.1903104
a37	0.9796087	0.0076847263	0.0013063635	0.0019463894	0.0074293786	2.6864143e-05	0.0019976138
a31	0.52431744	0.016951011	0.029578824	0.071503796	0.2935214	0.00038972826	0.06373784
a37	0.9960544	0.00031119323	0.0003105167	0.00081456656	0.0016850517	0.00013072163	0.00069350534
a31	0.9240786	0.0019421679	0.002013842	0.0069707124	0.026699156	0.0043934537	0.033901967
a21	0.948552	0.00036850132	0.0013734039	0.006788363	0.036556214	0.0013362593	0.0050252695
a31	0.89470536	0.0020826312	0.0042485427	0.009926169	0.05118696	0.010429694	0.02742073
a20	0.7534657	0.040896654	0.011239171	0.012893222	0.042916834	0.042682625	0.09590576
a31	0.25133145	0.14185569	0.059039578	0.06359917	0.089381464	0.13293639	0.2618563
a37	0.34039715	0.19192113	0.053508468	0.05064853	0.10298497	0.11008287	0.15045685
a33	0.14740247	0.17013589	0.10499196	0.10759171	0.12506808	0.14251873	0.20229124
</S>	0.14415719	0.123638354	0.070001654	0.07754272	0.105712354	0.14748628	0.33146146
