 	quando	è	arrivato	Giovanni	Anna	stava	e	dormiva	</S>
a20	0.31726614	0.08999801	0.019157918	0.0109668765	0.007555885	0.032982107	0.024463562	0.094083704	0.40352583
a8	0.00075871684	0.0025245813	0.00023845801	0.003122911	0.0028872897	9.4778894e-05	0.012827688	0.97726256	0.00028307707
a31	0.0043464066	0.0069498383	4.442237e-06	0.0006484084	0.36190727	3.3383597e-07	0.01805184	0.6064385	0.0016529375
a23	0.010649214	0.00021046154	6.3670956e-07	0.0006070386	0.024569847	4.4070703e-07	0.23615406	0.5390154	0.18879293
a31	0.0013484368	0.0020799597	7.5034704e-06	0.0007020082	0.0116422195	8.8789175e-06	0.020318057	0.9626956	0.0011973835
a10	0.028227199	0.000771836	1.6557384e-06	6.595168e-05	0.00050141895	2.6210093e-06	0.11056746	0.84488183	0.014980058
a24	0.0027167017	0.0037601357	8.96742e-07	0.0026248451	0.004583182	1.76881e-05	0.05293451	0.93048245	0.0028796452
a31	0.0010705377	0.0016607938	8.524539e-07	0.00060688244	0.0016520218	1.6423388e-05	0.03650389	0.95537454	0.0031139585
a41	0.003753633	0.0006797797	2.943303e-06	6.2223976e-06	9.5240546e-05	3.5267933e-06	0.010648025	0.97634786	0.00846284
a7	0.0049518645	0.002041351	1.2685751e-05	5.7896694e-05	0.0014481934	0.00010461824	0.04446549	0.91476196	0.03215589
a5	0.00081431906	0.00051790004	3.5075132e-06	1.2701512e-05	0.00035049452	1.3985555e-05	0.0066004335	0.9903564	0.0013301935
a37	0.0024652951	0.0012452314	1.2548985e-05	1.948896e-05	0.00012099685	5.6931576e-06	0.0040809847	0.9898398	0.0022100196
a31	0.0011394575	0.0009964975	7.881872e-06	3.054808e-05	0.00078051165	3.0657786e-05	0.012996586	0.98304784	0.0009699285
a46	0.035527907	0.006416028	0.0015208216	0.0014790382	0.001522113	0.00168174	0.05872742	0.5323616	0.36076328
a8	0.0912022	0.09026182	0.011242862	0.015422666	0.02573811	0.02529832	0.03493363	0.61794627	0.08795423
a31	0.011885681	0.010551813	0.00023298679	0.00036718062	0.0017472659	0.00069163437	0.0051689614	0.96711403	0.0022404038
a29	0.10253975	0.04605795	0.027046546	0.028213147	0.027141271	0.02964245	0.032681663	0.15576865	0.55090857
a11	0.11804466	0.15626988	0.029393168	0.037145957	0.051389914	0.057407387	0.02585457	0.4124661	0.11202837
a37	0.09974149	0.14948429	0.004151605	0.00757035	0.020850562	0.013604127	0.017025914	0.6679479	0.019623825
a31	0.08616502	0.10154532	0.0010586213	0.0025641825	0.00675299	0.0016164818	0.0060202028	0.79164803	0.0026291593
a24	0.15148216	0.21411563	0.044294365	0.046525575	0.044646624	0.047428194	0.014759642	0.30119047	0.13555743
a31	0.15423895	0.29300132	0.02315073	0.03162224	0.032337394	0.0396064	0.013401478	0.352498	0.060143564
a33	0.11345248	0.109177165	0.053943112	0.05986365	0.052134983	0.05770343	0.01444644	0.16462213	0.37465662
a20	0.21810815	0.46046588	0.030176425	0.02942436	0.016945012	0.025112463	0.009725693	0.15411559	0.05592652
</S>	0.14048722	0.2790391	0.12168897	0.052371323	0.031696666	0.053532243	0.01750857	0.084636405	0.21903951
