 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
a31	0.16503748	0.10686599	0.035192095	0.006465016	0.003216344	0.0049204263	0.042112354	0.6361903
a39	0.07784698	0.14752486	0.011443512	0.020701515	0.098600194	0.056067545	0.573534	0.014281313
a41	0.10077483	0.07641865	0.005267571	0.0065550483	0.061879806	0.7261215	0.022943517	3.9041228e-05
a39	0.060867023	0.13466361	0.1601664	0.3739379	0.20680512	0.05645844	0.0063001635	0.0008013506
a20	0.051993027	0.14764515	0.06677536	0.21587937	0.42400095	0.083951555	0.009503698	0.00025085613
a0	0.0804192	0.26616997	0.02384994	0.054709073	0.2870186	0.21944712	0.06745585	0.0009302302
a31	0.10843311	0.3962108	0.037266724	0.07159022	0.14603104	0.14995709	0.08764181	0.002869242
a13	0.23671025	0.32101798	0.03601066	0.05516221	0.07368564	0.13507327	0.12665807	0.015681906
a17	0.2728209	0.24438976	0.061480574	0.052167438	0.025612496	0.20344828	0.043727502	0.09635306
a31	0.23097956	0.3487381	0.17235033	0.073589526	0.015313105	0.04423681	0.01786463	0.09692793
a3	0.18634734	0.42766327	0.18790598	0.04828329	0.018505901	0.03459284	0.018186845	0.078514546
a46	0.09730217	0.36062133	0.2913485	0.14396109	0.037297443	0.012436731	0.008949763	0.04808298
</S>	0.17274016	0.35701674	0.10745584	0.08031448	0.07821375	0.019734837	0.0334662	0.15105799
