 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
a8	0.04641358	0.03678128	0.015187538	0.007845495	0.00868712	0.04179751	0.010583154	0.02663697	0.10143016	0.7046372
a31	6.770184e-05	2.867819e-05	1.5340838e-06	0.0014185461	9.567355e-06	0.9972494	1.9731228e-06	0.0010343371	0.00018780383	5.507375e-07
a3	0.003676557	0.00072765077	0.00056391046	0.016671302	4.2067775e-05	0.88649565	3.0564326e-05	0.021310985	0.0345002	0.03598107
a20	0.15428862	0.037136033	0.0030992401	0.06662332	0.0006924489	0.71685797	2.2683951e-05	0.0018193664	0.018742232	0.00071807206
a31	0.02440826	0.09466845	0.058394447	0.057688434	0.002610691	0.22039305	0.0072008795	0.09198913	0.40426418	0.03838248
a24	0.0039709206	0.002368905	8.645503e-05	0.8706509	0.00014358356	0.11268881	3.1329049e-07	0.002421494	0.007241339	0.00042729362
a31	0.0021208934	0.004385592	0.002015581	0.82285714	0.00261587	0.08299434	5.720318e-06	0.01884498	0.05178282	0.012377004
a17	0.004214376	0.00035992317	1.931273e-05	0.9739048	3.763197e-05	0.011076323	5.356376e-05	0.0038059775	0.0037605497	0.0027676034
a31	0.0016874903	0.00032040212	2.6859758e-05	0.9857205	0.00013742749	0.008261443	6.813673e-05	0.0010420128	0.0007817053	0.00195383
a17	0.03557706	0.0022421174	0.000618681	0.08471033	0.00020120524	0.39612108	0.0013701947	0.08602217	0.31970137	0.0734358
a20	0.024641357	0.008849147	0.0033241888	0.009486002	0.001835203	0.6334734	0.0024910416	0.06285853	0.18748541	0.06555568
a41	0.0439582	0.047587477	0.020698031	0.01237035	0.013786548	0.48071915	0.009458734	0.08144492	0.19666758	0.093309045
a31	0.085455395	0.15033546	0.023801092	0.0811875	0.023009704	0.5168277	0.0012395504	0.027286576	0.057376087	0.0334809
a17	0.08352367	0.0641244	0.049236167	0.05351717	0.04256884	0.15380794	0.03831614	0.07560616	0.2022153	0.2370842
a31	0.08194476	0.11093979	0.05660266	0.015781436	0.038515747	0.18985653	0.028806824	0.105207115	0.24262325	0.1297218
a24	0.13447167	0.1320565	0.108168565	0.045635246	0.10558951	0.13620219	0.058852084	0.021928964	0.0705202	0.18657511
a31	0.12724815	0.1653023	0.08334067	0.02919735	0.0466721	0.12350027	0.033869132	0.069111876	0.18344855	0.13830952
a32	0.08242493	0.070020005	0.05492025	0.03149032	0.04792011	0.08048731	0.0396862	0.024026401	0.137548	0.43147644
a31	0.1378015	0.20044342	0.0902133	0.019219358	0.05159146	0.1364259	0.02947464	0.05471139	0.14201967	0.13809934
a20	0.0863733	0.07780973	0.05351514	0.022954231	0.04795639	0.09121794	0.032997653	0.031662796	0.12590562	0.42960718
a31	0.07676998	0.24531135	0.059926435	0.015585764	0.05029467	0.09741503	0.022811115	0.08823589	0.17036647	0.1732832
a46	0.06605027	0.116296545	0.053102043	0.02489303	0.080878645	0.06230857	0.02222405	0.028996134	0.0816001	0.4636506
a33	0.043802	0.08789141	0.042758446	0.03136927	0.05049018	0.053283423	0.036105942	0.07735882	0.22462274	0.3523178
</S>	0.0483079	0.10874918	0.05001887	0.035485	0.069442734	0.059830505	0.038373042	0.061157126	0.16154237	0.36709327
