 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.17429276	0.1438813	0.008635093	0.0254981	0.32940227	0.31829053
a31	0.60487163	0.017253684	0.28635618	0.045932397	0.0054596947	0.040126465
a8	0.19023639	0.023781572	0.6535117	0.12334944	0.0015150656	0.0076058074
a31	0.76218665	0.0027479753	0.009219302	0.031685792	0.0044576656	0.18970263
a15	0.6938843	0.0050535537	0.01868413	0.06640806	0.050400194	0.16556984
a13	0.64897317	0.0062085073	0.0040183966	0.010920446	0.00032535027	0.3295542
a24	0.12694962	0.030816635	0.008416182	0.0038424057	7.48298e-05	0.8299004
a31	0.8360915	0.00660657	0.0020682502	0.0024517807	0.0006582012	0.15212369
a18	0.58326787	0.09831969	0.037360355	0.12123344	0.13453494	0.025283646
a31	0.28630328	0.0663997	0.13786879	0.23381414	0.11896521	0.15664893
a20	0.22443378	0.027493678	0.08513511	0.1865077	0.28410512	0.19232462
a11	0.65102345	0.034795087	0.045406453	0.050958067	0.05700832	0.16080862
a8	0.09142559	0.05873713	0.050413217	0.13043238	0.500825	0.1681667
a31	0.3339985	0.15064372	0.03470457	0.05528391	0.2732591	0.15211017
a8	0.17583293	0.14094928	0.11111452	0.124738455	0.20645048	0.24091433
a31	0.21785788	0.1542718	0.10668946	0.11333814	0.17707127	0.23077144
</S>	0.16225237	0.12528066	0.13475075	0.16251563	0.18550877	0.22969185
