 	lo	sentii	ee	che	arrivava	</S>
a15	0.46635267	0.050195474	0.01839884	0.06570517	0.08208143	0.31726635
a31	0.019580964	0.031522535	0.042256303	0.04218439	0.85557836	0.008877487
a46	0.012597217	0.011814622	0.060432486	0.18757729	0.4444373	0.28314117
a8	0.033087537	0.13622706	0.021023585	0.031791184	0.77706236	0.0008083472
a31	0.36308503	0.14778352	0.003010577	0.009973851	0.46542144	0.010725585
a23	0.036503058	0.009645326	0.006165845	0.046245646	0.8864387	0.015001318
a8	0.0154422615	0.20773974	0.0018334514	0.015694525	0.75896174	0.00032836973
a38	0.24674386	0.2621295	0.006968337	0.029760703	0.43748972	0.016907927
a20	0.20232636	0.3173756	0.0036719711	0.0099641485	0.4484181	0.018243771
a28	0.0661526	0.4103319	0.0039464203	0.011932158	0.49941078	0.00822611
a20	0.06666925	0.35647297	0.009397689	0.027026808	0.5086686	0.031764712
a23	0.044604663	0.29033488	0.010339669	0.020361094	0.62861586	0.005743817
a31	0.0394657	0.1907554	0.016689364	0.020177864	0.73054767	0.0023640394
a29	0.13509864	0.013805896	0.02680863	0.10513048	0.71287477	0.006281577
a33	0.018246373	0.1885999	0.005508065	0.015620054	0.7649996	0.0070260586
a29	0.001880364	0.054379817	0.0030724052	0.00435416	0.9350647	0.0012485078
a27	0.0042311577	0.13411175	0.023820223	0.010014701	0.7968252	0.030997021
a46	0.005727344	0.11069333	0.022508554	0.009303599	0.77818334	0.07358387
a20	0.0024418037	0.06549131	0.009234537	0.0036049872	0.9003886	0.01883876
a31	0.002052659	0.06447689	0.014095822	0.004400452	0.89436644	0.020607714
a7	0.022610795	0.0054570646	0.0026820821	0.0028845745	0.9632559	0.0031096248
a1	0.00871809	0.040117748	0.020450521	0.022729423	0.8905398	0.017444445
a20	0.006943331	0.020383807	0.009780644	0.005557526	0.95356524	0.0037693938
a31	0.0010922299	0.08745334	0.044147603	0.008725694	0.8386874	0.019893695
a20	0.0021850737	0.0062586335	0.004747223	0.0023105303	0.98274696	0.0017514955
a31	0.0040863636	0.051442727	0.02133271	0.009602814	0.9051999	0.00833549
a23	0.02195582	0.016522748	0.003354774	0.005224203	0.93539256	0.017549947
</S>	0.34592816	0.09714724	0.021120619	0.051659502	0.100964755	0.38317972
