 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
a31	0.16485962	0.029857047	0.030321037	0.01786621	0.016472941	0.008758096	0.011343075	0.23382193	0.0463241	0.44037595
a24	0.060035493	0.009238818	0.005846069	0.018257637	0.015023323	0.008784422	0.0018769027	0.021234583	0.81086415	0.048838586
a31	0.213553	0.007259551	0.00075197895	0.002306095	0.76133955	0.009970851	3.2592513e-07	4.4413997e-07	0.004789246	2.9076928e-05
a13	0.0497663	0.0036418734	0.0016971079	0.010811693	0.68096673	5.1522988e-05	5.202253e-06	7.652321e-05	0.25197795	0.0010051255
a18	0.091112144	0.008641581	0.015581011	0.06540752	0.742664	0.012839072	4.477632e-06	3.0906827e-05	0.060624585	0.0030946706
a20	0.2646307	0.028295584	0.025934368	0.16153933	0.19796194	0.0067556263	1.2489688e-05	6.691509e-05	0.3089972	0.0058058123
a31	0.13854837	0.04615887	0.05379849	0.3562177	0.2015049	0.008743289	1.9981657e-05	8.969893e-05	0.19301051	0.0019081329
a37	0.2790254	0.029992534	0.092338234	0.21410763	0.33162588	0.0038288427	0.0007437814	0.0019399264	0.040818054	0.005579685
a31	0.05779734	0.028435651	0.17030829	0.5923066	0.11510817	0.009953277	0.0012516221	0.0044256956	0.011427977	0.008985436
a11	0.72679883	0.0461547	0.08414623	0.03697115	0.04524438	0.00856366	0.007999294	0.014014237	0.010368514	0.019739056
a31	0.2856467	0.070312254	0.20878758	0.23480709	0.11409236	0.02137538	0.009957629	0.021218464	0.012904972	0.02089755
a11	0.729581	0.046295695	0.07679599	0.03168167	0.033574138	0.0111461375	0.011831623	0.022676012	0.009919689	0.026498104
a31	0.3924897	0.09672	0.19840169	0.1280682	0.078291595	0.022314336	0.015824623	0.03041724	0.014682159	0.022790454
a11	0.7209539	0.04849799	0.07447576	0.031874385	0.034356657	0.014030703	0.01566116	0.025428765	0.010487907	0.024232754
a31	0.40703923	0.12504822	0.19725223	0.0980136	0.06308698	0.023801547	0.021639667	0.02938841	0.01702617	0.017704008
a13	0.68061835	0.054953948	0.07595246	0.038056046	0.047933057	0.022215856	0.024937686	0.023172589	0.013680763	0.018479312
a31	0.38639474	0.15242203	0.19669348	0.084681086	0.06003849	0.030645832	0.030707913	0.022181874	0.023010397	0.0132241715
a18	0.5572465	0.07320701	0.089163095	0.05508928	0.08375267	0.042466782	0.044858057	0.018270137	0.020828728	0.015117614
a31	0.3202999	0.1718816	0.1903282	0.08145186	0.066289276	0.04887389	0.045632787	0.022067752	0.038001873	0.015172889
a10	0.37680745	0.101520285	0.107935525	0.07563581	0.13018465	0.07648259	0.06792065	0.016635753	0.030702887	0.01617444
a7	0.27267238	0.18499658	0.18972458	0.07934039	0.066553876	0.058671895	0.051180102	0.025971515	0.051803943	0.01908467
a31	0.11571211	0.16119333	0.12722144	0.08899666	0.119503215	0.16133513	0.080295734	0.033006016	0.08285533	0.029881021
a20	0.1462991	0.14831696	0.12919323	0.098989405	0.13450997	0.14293079	0.09469411	0.025957989	0.056236178	0.022872264
a31	0.12881278	0.13158709	0.1018989	0.065435454	0.07824194	0.1265253	0.05741579	0.06524951	0.18614642	0.05868685
</S>	0.2131198	0.11800523	0.09288821	0.072212525	0.14762378	0.1527748	0.06639928	0.036662456	0.054297082	0.046016783
