 	non	ho	dove	d'	andare	</S>
a20	0.2071141	0.037007865	0.023417981	0.5848642	0.02997886	0.11761703
a31	0.024597595	0.9357351	0.013151944	0.00061153667	0.014149296	0.011754355
a37	0.13982944	0.37904614	0.0017007176	2.8175797e-05	0.4781862	0.001209375
a31	0.21336521	0.18750747	0.0027269349	3.6392692e-05	0.14361882	0.45274514
a29	0.114739835	0.23917596	0.00060434727	0.00034472023	0.6380365	0.007098755
a41	0.08036085	0.74600893	0.008519722	0.0056614866	0.028517183	0.13093182
a31	0.039041005	0.93782043	0.0057044355	5.3231484e-05	0.0068454137	0.010535373
a18	0.09635683	0.863101	0.0027760467	0.008108477	0.014424106	0.015233526
a31	0.025889743	0.90620524	0.019602876	0.00060283404	0.04328637	0.0044129845
a39	0.1824982	0.28293815	0.026598891	0.30190736	0.10667079	0.09938659
a31	0.064588934	0.5153392	0.0070220735	0.01906385	0.279776	0.11421002
a8	0.07590966	0.046249516	0.05449514	0.51394725	0.21126857	0.0981299
a31	0.21404824	0.18621573	0.10920386	0.16865985	0.17857847	0.14329381
a8	0.057190783	0.042350072	0.055690207	0.681075	0.10554204	0.058151934
</S>	0.16441415	0.16183242	0.15560809	0.17037967	0.18070248	0.16706319
