 	non	deve	magniare	la	sera	</S>
a20	0.0830229	0.13108732	0.19252403	0.25605848	0.15154219	0.18576512
a31	0.14153177	0.2851396	0.038620003	0.15067357	0.30683398	0.07720116
a18	0.20619205	0.05130397	2.1803382e-05	0.0031831504	0.738762	0.00053704344
a37	0.0015269221	0.0036543123	0.00013933159	0.019298432	0.8398377	0.13554332
a18	0.0015919921	0.003220229	0.0002833908	0.0063334736	0.71446496	0.27410594
a31	0.025583444	0.025987396	0.0025231566	0.007155393	0.9111419	0.027608685
a13	0.112084575	0.8260742	0.015043031	0.020861452	0.023267549	0.0026691377
a31	0.04532667	0.56648535	0.075837195	0.19092797	0.11117756	0.010245161
a17	0.18295655	0.12338278	0.19158803	0.09361971	0.21629173	0.19216114
</S>	0.012125038	0.01784219	0.012908216	0.10266727	0.5786653	0.27579197
