 	e	che	cucino	</S>
a31	0.2111782	0.14290886	0.31269044	0.3332225
a24	0.674383	0.32102486	9.011675e-05	0.0045020944
a31	0.54304105	0.45664603	0.000258346	5.4504686e-05
a11	0.96632576	0.032376107	0.00010884094	0.0011892398
a46	0.8080325	0.18141875	0.0026672918	0.007881395
a41	0.722794	0.2751137	0.0006781423	0.001414183
a20	0.4643388	0.5338309	0.0013065417	0.00052382046
a36	0.7066205	0.28780627	0.005345882	0.00022731462
a31	0.5824219	0.24071483	0.13193896	0.044924233
a46	0.16011856	0.24373478	0.36581805	0.23032854
</S>	0.024769044	0.037847605	0.13445708	0.80292624
