 	essendosi	vestito	</S>
a46	0.5397778	0.2151068	0.24511535
a31	0.060950268	0.81225884	0.1267909
a18	0.19573474	0.44804266	0.35622263
a31	0.00019722318	0.11559305	0.8842097
a20	0.011309098	0.7213079	0.267383
a46	0.0002386538	0.5781628	0.4215985
a20	0.06546381	0.8344304	0.10010577
a31	0.0033405381	0.96464515	0.03201433
a0	0.15491626	0.58832145	0.25676233
a46	0.015471769	0.9452528	0.03927544
a35	0.0037045546	0.88206774	0.114227705
a46	0.002806248	0.83686537	0.16032839
a24	0.0046679736	0.6005635	0.39476845
a46	0.009786869	0.36115545	0.62905765
a24	0.01503521	0.25560457	0.7293603
a31	0.016760098	0.21322286	0.770017
</S>	0.117556006	0.20486474	0.6775792
