 	io	non	ho	niente	da	mangiare	</S>
a8	0.033298742	0.004296184	0.0025232753	0.06872806	0.01236115	0.06157407	0.81721854
a31	0.0012576863	0.0006873528	0.00060732476	0.6261043	0.261199	0.10996033	0.00018403525
a8	0.025344796	0.047709603	0.07488843	0.17179422	0.47467437	0.04716498	0.1584235
a20	0.020887233	0.010425789	0.024924925	0.9193114	0.013133542	0.010855947	0.00046120808
a31	0.0042996486	0.036499124	0.05611552	0.10679966	0.42741016	0.33309856	0.035777364
a14	0.0892215	0.020879716	0.048814572	0.73211914	0.080192134	0.025465552	0.0033073768
a31	0.009298951	0.04265883	0.07429905	0.4140142	0.22714855	0.2153869	0.01719354
a13	0.45841992	0.011016561	0.1156372	0.10080767	0.09836771	0.075399786	0.14035109
a37	0.028947191	0.003627279	0.599562	0.1088579	0.22756498	0.02682546	0.0046151825
a10	0.07927504	0.0009937937	0.042917278	0.78958756	0.028963996	0.034147788	0.024114555
a20	0.06985433	0.0014445737	0.010399562	0.7668482	0.061008465	0.08243609	0.008008792
a7	0.030152578	0.0004333205	0.0005752396	0.9407812	0.009025118	0.016268918	0.0027636318
a18	0.02235571	0.0009308377	0.001638066	0.9190699	0.017540637	0.032674298	0.005790707
a44	0.033201594	0.0014193808	0.0029647225	0.90327144	0.022266975	0.03326774	0.0036081101
</S>	0.018364672	0.001368532	0.0034525746	0.9103535	0.0197583	0.03694242	0.009760112
