 	sono	vestita	</S>
a31	0.4456823	0.31876364	0.2355541
a20	0.11380103	0.72773814	0.1584608
a31	0.6898415	0.3014582	0.008700303
a41	0.93284357	0.06272965	0.004426808
a46	0.17667146	0.07921347	0.74411505
a18	0.12409889	0.5581047	0.31779638
a24	0.7275153	0.094061635	0.17842306
a31	0.83183867	0.032737512	0.1354238
a11	0.40045017	0.32625806	0.2732917
a0	0.6347956	0.16413067	0.2010737
a15	0.1644856	0.11056951	0.72494483
a8	0.15416697	0.08016343	0.7656696
a39	0.30202183	0.21401936	0.48395875
</S>	0.12878898	0.13861123	0.73259985
