 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.006234608	0.0045979624	0.003338119	0.001068222	0.0010689313	0.0014325422	0.0013933703	0.0017192017	0.002236969	0.0035886776	0.006386829	0.0020995187	0.04830464	0.0034921055	0.002787938	0.0051424364	0.005468762	0.0035677934	0.015172198	0.0030513462	0.0016996909	0.009217932	0.5191668	0.04683628	0.08224799	0.21867904
a31	5.7523426e-05	0.00012776208	5.5922527e-07	6.176421e-05	0.00023863453	0.00012637541	2.3694405e-05	2.2771457e-05	0.00025396628	0.0020646162	0.0058452035	0.012021141	0.024463428	0.0064033805	0.012138728	0.0030701845	0.0109899845	4.1576095e-05	0.0017289614	0.018186925	0.8226355	0.0794796	1.207687e-06	2.120333e-06	1.3926806e-05	4.2528526e-07
a1	9.372003e-06	3.2189205e-06	3.978803e-08	2.6168478e-05	4.5010587e-05	0.00015979157	9.16496e-05	0.00015311124	0.00059549155	0.003101689	0.010526104	0.007423749	0.05625372	0.0022474828	0.0065941885	0.003293601	0.018383972	0.0012010833	0.0014966589	0.015504718	0.021367189	0.85130554	4.08484e-06	7.3098636e-05	0.00013050219	8.883293e-06
a35	4.0339673e-06	2.308276e-06	9.0460006e-08	5.480773e-06	2.0584352e-05	1.6346235e-05	1.0638793e-06	1.5023877e-06	4.2321986e-05	0.0012412415	0.010511976	0.007396402	0.06512187	0.0018191363	0.00998584	0.010548067	0.13397396	8.291144e-05	0.003779599	0.1773406	0.2662376	0.3117912	1.569933e-05	4.696697e-06	5.4951943e-05	4.773219e-07
a31	0.0038293004	0.0074916314	1.9428476e-06	0.12783821	0.070435815	0.008199583	0.0027896452	0.0018765926	0.0024846192	0.0035204608	0.003065173	0.00063826295	0.028719509	0.007977979	0.007048799	0.0028008549	0.021340247	0.005561317	0.01951434	0.026445264	0.044320524	0.6036856	6.3574333e-07	8.044915e-07	0.00038713106	2.5715006e-05
a7	1.3104016e-05	5.3740473e-06	4.081415e-09	4.3962245e-06	0.00013808793	0.0011541239	4.277921e-06	9.364072e-06	0.00066509424	0.0037804644	0.017710984	0.017735472	0.032294326	0.007829939	0.013771683	0.0048614554	0.054005742	3.4789024e-05	0.0022826933	0.046922166	0.45513952	0.34156612	2.9590274e-06	1.7860235e-05	4.636376e-05	3.7124962e-06
a31	0.00018809809	0.00036660212	1.3894007e-07	0.0002845388	0.0012594555	0.0011382931	9.905047e-06	1.2904541e-05	0.00023046139	0.0014087997	0.009283395	0.015489554	0.15160792	0.0049162144	0.010243857	0.0017780547	0.016763797	0.00011986474	0.00088518905	0.04118095	0.33663756	0.40614876	1.7597185e-05	4.853406e-06	2.021013e-05	3.051122e-06
a24	0.00010937814	4.0597864e-05	2.2814845e-08	3.0179384e-05	2.9713363e-05	0.000114055256	5.5723744e-06	1.7038445e-05	0.00035146458	0.0021054156	0.022043796	0.08561939	0.065758705	0.0036254742	0.018155824	0.0012744144	0.0056364206	4.45389e-05	0.0005322867	0.03843782	0.63566494	0.11768998	0.00014518536	0.00081449765	0.0016743267	7.889301e-05
a46	0.00022320279	0.00026610616	9.1423104e-08	0.0001828867	0.00031795053	0.00037446225	2.1098513e-05	3.955285e-05	0.0003873842	0.0010797598	0.0085601825	0.097177	0.18179262	0.0026323942	0.005891885	0.00028798383	0.0027508547	0.00011380465	0.00013297844	0.006223184	0.38938308	0.30142727	0.00020758195	0.0003414913	0.00015572306	2.9531251e-05
a24	0.00010607688	0.00014124557	1.5884687e-07	9.3623414e-05	0.00017735233	0.00012309053	5.4926913e-06	7.758231e-06	6.64353e-05	0.0004015091	0.008211344	0.04051727	0.116223	0.0008528668	0.0043340744	0.00044864428	0.002767458	2.5032796e-05	0.00010454233	0.015870301	0.5901406	0.21904492	0.00018821907	6.679284e-05	7.688175e-05	5.363371e-06
