 	guardando	le	nuvole	capisco	che	piove	</S>
a8	0.20714614	0.012497622	0.024186574	0.028448729	0.024883853	0.070780225	0.63205683
a23	0.017745674	0.013020483	0.82484055	0.005049935	0.12244415	0.016763384	0.00013578612
a31	0.102791086	0.14026245	0.7533223	0.0007244933	0.002319657	0.0005174583	6.257005e-05
a17	0.5148553	0.12972248	0.3373095	0.0021332528	0.0091696875	0.004592156	0.002217594
a31	0.5916273	0.16664593	0.23293354	0.00015527567	0.0037355565	0.0015241186	0.0033782863
a10	0.16792658	0.2053546	0.53886586	0.00049472076	0.014785478	0.00632915	0.06624366
a20	0.071105644	0.15475945	0.61629397	0.00518329	0.008794995	0.018965293	0.12489729
a8	0.05084474	0.13962103	0.29231474	0.003916954	0.028137797	0.055300873	0.4298638
a17	0.037936382	0.067833155	0.1035006	0.0015415279	0.02940215	0.07335821	0.686428
a13	0.10624863	0.054288164	0.1535715	0.0027971368	0.08633268	0.15826532	0.4384966
a20	0.2509287	0.099716015	0.17815128	0.004887148	0.14103857	0.16459341	0.1606849
a31	0.49510175	0.13571262	0.2499529	0.0015214027	0.08859239	0.019175239	0.0099436585
a37	0.34330586	0.27919942	0.31296685	0.003816196	0.04039012	0.014705893	0.00561567
a31	0.4740115	0.24827178	0.22724003	0.0030115638	0.032897428	0.011433688	0.0031339808
a0	0.39576164	0.24820703	0.1531874	0.052303426	0.070778	0.055857524	0.023904998
a31	0.3489777	0.25320166	0.14350893	0.07018187	0.06346646	0.06542031	0.05524294
a10	0.10684482	0.35998455	0.23867524	0.136442	0.047661714	0.05717377	0.05321797
a39	0.15516196	0.20803715	0.13401179	0.11529865	0.07820895	0.12637648	0.18290499
a46	0.14272884	0.30482024	0.16520211	0.10412967	0.07619656	0.086703755	0.12021884
a8	0.16985966	0.28925976	0.15948199	0.107325494	0.070823446	0.08951864	0.11373103
a20	0.12667248	0.19931953	0.13913259	0.12247183	0.112103015	0.1302883	0.17001228
a8	0.1322215	0.22233757	0.14770871	0.12298475	0.107594	0.12076301	0.14639048
a46	0.12866527	0.1982336	0.14431612	0.12790285	0.1168322	0.129514	0.15453592
a8	0.12324045	0.18165497	0.13723339	0.12760392	0.119183384	0.13802539	0.17305855
a31	0.13075991	0.16828088	0.13923381	0.13237825	0.12768823	0.13914886	0.16251001
a20	0.13477863	0.15576851	0.13550138	0.12638216	0.1363242	0.13879253	0.17245258
a31	0.15419103	0.22780308	0.14670894	0.1195564	0.10322892	0.115168095	0.13334352
a28	0.1383958	0.15650205	0.14351852	0.13859947	0.13743618	0.1391982	0.14634973
a46	0.14233373	0.17585059	0.14428069	0.13349636	0.12790632	0.13293457	0.14319775
a23	0.13127922	0.16566752	0.1392187	0.13355476	0.12913893	0.14040644	0.1607344
a39	0.11920797	0.1359685	0.12471508	0.13072173	0.13299549	0.1562125	0.20017874
a31	0.14081733	0.14835875	0.13938954	0.1369362	0.13841274	0.14191474	0.15417074
</S>	0.13980867	0.1501113	0.14168704	0.13826264	0.13951671	0.14092241	0.1496913
