 	è	che	stanno	ancora	alzati	</S>
a20	0.10113619	0.0736105	0.19160968	0.35024258	0.12027207	0.16312897
a31	0.14491448	0.20460692	0.0043439176	0.009561592	0.5835355	0.053037573
a20	0.009531374	0.016269417	0.006646613	0.4670081	0.37573874	0.12480573
a31	0.00022498795	0.028158441	0.000809779	0.82326186	0.114817366	0.032727502
a20	0.13469198	0.059737492	0.009171011	0.16732925	0.60864174	0.020428477
a28	0.07209588	0.09037444	0.0070845084	0.6664153	0.10316666	0.060863283
a31	0.048814673	0.7549489	0.0040523848	0.055772927	0.07159614	0.06481499
a29	0.31768873	0.04492445	0.014564123	0.045721203	0.5639334	0.013168133
a46	0.29964104	0.3091137	0.0026564414	0.021332256	0.35839292	0.008863668
a31	0.23591496	0.2549854	0.010213164	0.022857483	0.4573758	0.018653244
a20	0.02075538	0.10640156	0.079327725	0.23891497	0.38363037	0.17097002
a31	0.031219507	0.11123959	0.017325869	0.023702713	0.5727071	0.2438052
a39	0.031659145	0.07482311	0.071802035	0.47625846	0.19378306	0.15167418
a20	0.017577156	0.04053848	0.05346682	0.44860473	0.27126136	0.16855149
a8	0.00659448	0.04538737	0.073988944	0.36893496	0.38016516	0.12492906
a20	0.0035972798	0.058055382	0.06374191	0.21440247	0.5697847	0.09041823
a24	0.00826366	0.16316165	0.08679858	0.27717593	0.23043124	0.23416895
a46	0.006968258	0.085599005	0.077265024	0.36070573	0.33116195	0.1383
a8	0.009248621	0.09640777	0.08219907	0.45350868	0.20218857	0.15644735
a23	0.006855272	0.09096692	0.08725723	0.4019287	0.26302478	0.14996707
a8	0.0065203095	0.12158404	0.097400434	0.38817796	0.18602651	0.2002908
</S>	0.008699477	0.081875555	0.08370487	0.4732842	0.21727464	0.13516131
